EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
127 2 20 100 100.0 5.0 1.0 0.278 0.606 0.998 0.278 1.065 0.05 qd_soft ~yacht [100] 1 1
128 2 20 100 100.0 15.0 0.968 0.514 1.259 0.991 0.528 1.807 0.05 qd_soft ~yacht [100] 1 1
129 2 20 100 100.0 25.0 0.968 0.636 1.925 0.978 0.634 1.991 0.05 qd_soft ~yacht [100] 1 1
130 2 20 100 160.0 5.0 0.935 0.533 1.924 0.978 0.561 2.101 0.05 qd_soft ~yacht [100] 1 1
131 2 20 100 160.0 15.0 0.871 0.903 3.486 0.928 1.531 3.019 0.05 qd_soft ~yacht [100] 1 1
132 2 20 100 160.0 25.0 0.935 0.92 3.183 0.94 0.952 2.357 0.05 qd_soft ~yacht [100] 1 1
133 2 20 100 200.0 5.0 0.903 0.295 1.365 0.989 0.363 1.76 0.05 qd_soft ~yacht [100] 1 1
134 2 20 100 200.0 15.0 1.0 0.673 1.911 0.978 0.673 2.088 0.05 qd_soft ~yacht [100] 1 1
135 2 20 100 200.0 25.0 0.935 0.776 2.53 0.962 0.82 2.22 0.05 qd_soft ~yacht [100] 1 1
136 2 30 50 100.0 5.0 0.968 0.246 0.744 0.997 0.251 1.007 0.05 qd_soft ~yacht [50] 1 1
137 2 30 50 100.0 15.0 1.0 0.44 1.818 0.98 0.44 1.537 0.05 qd_soft ~yacht [50] 1 1
138 2 30 50 100.0 25.0 0.968 0.59 2.674 0.958 0.585 2.269 0.05 qd_soft ~yacht [50] 1 1
139 2 30 50 160.0 5.0 0.935 0.348 1.706 0.983 0.361 1.45 0.05 qd_soft ~yacht [50] 1 1
140 2 30 50 160.0 15.0 1.0 0.681 2.383 0.966 0.681 2.095 0.05 qd_soft ~yacht [50] 1 1
141 2 30 50 160.0 25.0 0.968 0.735 3.058 0.944 0.729 2.125 0.05 qd_soft ~yacht [50] 1 1
142 2 30 50 200.0 5.0 0.935 0.408 2.425 0.965 0.394 1.648 0.05 qd_soft ~yacht [50] 1 1
143 2 30 50 200.0 15.0 0.968 0.678 2.873 0.951 0.673 2.098 0.05 qd_soft ~yacht [50] 1 1
144 2 30 50 200.0 25.0 0.903 1.079 4.162 0.897 1.455 178.478 0.05 qd_soft ~yacht [50] 1 1
145 2 30 75 100.0 5.0 1.0 0.534 1.552 0.986 0.534 1.962 0.05 qd_soft ~yacht [75] 1 1
146 2 30 75 100.0 15.0 0.968 0.417 1.458 0.987 0.423 1.661 0.05 qd_soft ~yacht [75] 1 1
147 2 30 75 100.0 25.0 1.0 1.131 4.299 0.89 1.131 2.679 0.05 qd_soft ~yacht [75] 1 1
148 2 30 75 160.0 5.0 0.935 0.264 1.105 0.993 0.266 1.146 0.05 qd_soft ~yacht [75] 1 1
149 2 30 75 160.0 15.0 0.903 0.744 2.548 0.961 0.976 2.426 0.05 qd_soft ~yacht [75] 1 1
150 2 30 75 160.0 25.0 0.774 0.74 4.927 0.856 5.039 2.978 0.05 qd_soft ~yacht [75] 1 1
151 2 30 75 200.0 5.0 1.0 0.473 1.156 0.992 0.473 1.555 0.05 qd_soft ~yacht [75] 1 1
152 2 30 75 200.0 15.0 0.968 0.744 2.669 0.958 0.727 2.112 0.05 qd_soft ~yacht [75] 1 1
153 2 30 75 200.0 25.0 0.935 1.062 2.926 0.949 1.137 2.65 0.05 qd_soft ~yacht [75] 1 1
