EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
119 2 20 75 100.0 15.0 0.94 2.438 5.399 0.205 2.546 3.248 0.05 qd_soft ~protein [75] 1 1
120 2 20 75 100.0 25.0 0.948 2.521 5.431 0.196 2.541 3.281 0.05 qd_soft ~protein [75] 1 1
121 2 20 75 160.0 5.0 0.913 2.222 5.19 0.266 2.698 3.732 0.05 qd_soft ~protein [75] 1 1
122 2 20 75 160.0 15.0 0.941 2.46 5.461 0.187 2.56 5.184 0.05 qd_soft ~protein [75] 1 1
123 2 20 75 160.0 25.0 0.948 2.548 5.506 0.173 2.564 3.706 0.05 qd_soft ~protein [75] 1 1
124 2 20 75 200.0 5.0 0.911 2.255 5.251 0.248 2.79 12.646 0.05 qd_soft ~protein [75] 1 1
125 2 20 75 200.0 15.0 0.937 2.505 5.512 0.171 2.695 3.716 0.05 qd_soft ~protein [75] 1 1
126 2 20 75 200.0 25.0 0.953 2.676 5.822 0.076 2.679 3.319 0.05 qd_soft ~protein [75] 1 1
127 2 20 100 100.0 5.0 0.909 2.192 5.149 0.277 2.768 3.361 0.05 qd_soft ~protein [100] 1 1
128 2 20 100 100.0 15.0 0.941 2.419 5.341 0.222 2.5 3.288 0.05 qd_soft ~protein [100] 1 1
129 2 20 100 100.0 25.0 0.946 2.489 5.34 0.222 2.53 3.399 0.05 qd_soft ~protein [100] 1 1
130 2 20 100 160.0 5.0 0.906 2.197 5.178 0.269 2.873 3.833 0.05 qd_soft ~protein [100] 1 1
131 2 20 100 160.0 15.0 0.941 2.457 5.413 0.201 2.546 5.766 0.05 qd_soft ~protein [100] 1 1
132 2 20 100 160.0 25.0 0.951 2.561 5.513 0.171 2.564 3.25 0.05 qd_soft ~protein [100] 1 1
133 2 20 100 200.0 5.0 0.907 2.223 5.209 0.26 2.865 3.791 0.05 qd_soft ~protein [100] 1 1
134 2 20 100 200.0 15.0 0.942 2.494 5.492 0.178 2.567 3.299 0.05 qd_soft ~protein [100] 1 1
