EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
109 2 20 50 100.0 5.0 0.888 1.922 0.653 0.144 2.176 43.35 0.05 qd_soft ~wine [50] 1 1
110 2 20 50 100.0 15.0 0.906 2.111 0.635 0.192 2.466 2.463 0.05 qd_soft ~wine [50] 1 1
111 2 20 50 100.0 25.0 0.894 2.301 0.65 0.152 3.327 1.191 0.05 qd_soft ~wine [50] 1 1
112 2 20 50 160.0 5.0 0.888 1.898 0.656 0.137 2.15 228.293 0.05 qd_soft ~wine [50] 1 1
113 2 20 50 160.0 15.0 0.912 2.285 0.641 0.176 2.55 1.111 0.05 qd_soft ~wine [50] 1 1
114 2 20 50 160.0 25.0 0.938 2.504 0.645 0.164 2.569 1.803 0.05 qd_soft ~wine [50] 1 1
115 2 20 50 200.0 5.0 0.862 1.924 0.648 0.158 2.432 10.467 0.05 qd_soft ~wine [50] 1 1
116 2 20 50 200.0 15.0 0.938 2.309 0.629 0.206 2.347 15.007 0.05 qd_soft ~wine [50] 1 1
117 2 20 50 200.0 25.0 0.925 2.385 0.658 0.132 2.58 1.184 0.05 qd_soft ~wine [50] 1 1
118 2 20 75 100.0 5.0 0.9 1.762 0.642 0.173 1.934 4.704 0.05 qd_soft ~wine [75] 1 1
119 2 20 75 100.0 15.0 0.9 2.002 0.64 0.179 2.482 1.432 0.05 qd_soft ~wine [75] 1 1
120 2 20 75 100.0 25.0 0.931 2.305 0.639 0.182 2.421 48.816 0.05 qd_soft ~wine [75] 1 1
121 2 20 75 160.0 5.0 0.875 1.887 0.645 0.165 2.259 12.512 0.05 qd_soft ~wine [75] 1 1
122 2 20 75 160.0 15.0 0.912 2.25 0.654 0.141 2.537 1.259 0.05 qd_soft ~wine [75] 1 1
123 2 20 75 160.0 25.0 0.931 2.413 0.652 0.147 2.544 1.212 0.05 qd_soft ~wine [75] 1 1
124 2 20 75 200.0 5.0 0.894 1.916 0.633 0.196 2.144 5.078 0.05 qd_soft ~wine [75] 1 1
125 2 20 75 200.0 15.0 0.906 2.333 0.646 0.162 2.719 70.137 0.05 qd_soft ~wine [75] 1 1
126 2 20 75 200.0 25.0 0.925 2.413 0.656 0.137 2.621 1.147 0.05 qd_soft ~wine [75] 1 1
127 2 20 100 100.0 5.0 0.869 1.779 0.66 0.127 2.198 121.902 0.05 qd_soft ~wine [100] 1 1
128 2 20 100 100.0 15.0 0.906 2.126 0.642 0.174 2.497 2.774 0.05 qd_soft ~wine [100] 1 1
129 2 20 100 100.0 25.0 0.938 2.272 0.622 0.223 2.319 1.177 0.05 qd_soft ~wine [100] 1 1
130 2 20 100 160.0 5.0 0.881 1.854 0.639 0.181 2.163 3.114 0.05 qd_soft ~wine [100] 1 1
131 2 20 100 160.0 15.0 0.894 2.133 0.633 0.197 2.744 1.342 0.05 qd_soft ~wine [100] 1 1
132 2 20 100 160.0 25.0 0.931 2.555 0.636 0.188 2.715 6.45 0.05 qd_soft ~wine [100] 1 1
133 2 20 100 200.0 5.0 0.856 1.831 0.652 0.148 2.418 16.363 0.05 qd_soft ~wine [100] 1 1
134 2 20 100 200.0 15.0 0.881 2.231 0.665 0.112 3.13 1.359 0.05 qd_soft ~wine [100] 1 1
135 2 20 100 200.0 25.0 0.938 2.664 0.648 0.157 2.749 1.314 0.05 qd_soft ~wine [100] 1 1
136 2 30 50 100.0 5.0 0.906 1.878 0.643 0.171 2.022 23.629 0.05 qd_soft ~wine [50] 1 1
137 2 30 50 100.0 15.0 0.9 2.051 0.645 0.165 2.55 2.251 0.05 qd_soft ~wine [50] 1 1
138 2 30 50 100.0 25.0 0.919 2.448 0.672 0.095 2.748 1.123 0.05 qd_soft ~wine [50] 1 1
139 2 30 50 160.0 5.0 0.888 1.936 0.647 0.159 2.21 278.77 0.05 qd_soft ~wine [50] 1 1
140 2 30 50 160.0 15.0 0.919 2.183 0.642 0.175 2.389 7.375 0.05 qd_soft ~wine [50] 1 1
141 2 30 50 160.0 25.0 0.944 2.552 0.667 0.107 2.545 1.062 0.05 qd_soft ~wine [50] 1 1
142 2 30 50 200.0 5.0 0.9 1.887 0.638 0.183 2.064 2.389 0.05 qd_soft ~wine [50] 1 1
143 2 30 50 200.0 15.0 0.875 2.289 0.667 0.109 3.427 12.588 0.05 qd_soft ~wine [50] 1 1
144 2 30 50 200.0 25.0 0.925 2.607 0.65 0.152 2.838 1.117 0.05 qd_soft ~wine [50] 1 1
145 2 30 75 100.0 5.0 0.869 1.829 0.646 0.163 2.268 2.378 0.05 qd_soft ~wine [75] 1 1
146 2 30 75 100.0 15.0 0.912 2.163 0.634 0.193 2.443 1.672 0.05 qd_soft ~wine [75] 1 1
147 2 30 75 100.0 25.0 0.875 2.197 0.643 0.17 4.02 1.699 0.05 qd_soft ~wine [75] 1 1
148 2 30 75 160.0 5.0 0.85 1.851 0.66 0.127 2.506 17.88 0.05 qd_soft ~wine [75] 1 1
149 2 30 75 160.0 15.0 0.912 2.273 0.63 0.204 2.531 1.059 0.05 qd_soft ~wine [75] 1 1
150 2 30 75 160.0 25.0 0.894 2.372 0.661 0.123 3.435 2.018 0.05 qd_soft ~wine [75] 1 1
151 2 30 75 200.0 5.0 0.894 1.871 0.629 0.205 2.101 3.654 0.05 qd_soft ~wine [75] 1 1
152 2 30 75 200.0 15.0 0.894 2.357 0.661 0.125 2.991 1.413 0.05 qd_soft ~wine [75] 1 1
153 2 30 75 200.0 25.0 0.931 2.599 0.636 0.188 2.756 3.511 0.05 qd_soft ~wine [75] 1 1
154 2 30 100 100.0 5.0 0.869 1.723 0.652 0.148 2.154 8.585 0.05 qd_soft ~wine [100] 1 1
155 2 30 100 100.0 15.0 0.9 2.139 0.631 0.202 2.624 1.16 0.05 qd_soft ~wine [100] 1 1
156 2 30 100 100.0 25.0 0.931 2.355 0.64 0.178 2.489 2.63 0.05 qd_soft ~wine [100] 1 1
157 2 30 100 160.0 5.0 0.888 1.888 0.643 0.17 2.15 10.335 0.05 qd_soft ~wine [100] 1 1
158 2 30 100 160.0 15.0 0.869 2.265 0.631 0.202 3.571 1.595 0.05 qd_soft ~wine [100] 1 1
159 2 30 100 160.0 25.0 0.919 2.519 0.667 0.107 2.878 1.766 0.05 qd_soft ~wine [100] 1 1
160 2 30 100 200.0 5.0 0.856 1.895 0.638 0.183 2.461 5.646 0.05 qd_soft ~wine [100] 1 1
161 2 30 100 200.0 15.0 0.894 2.273 0.656 0.138 2.856 1.132 0.05 qd_soft ~wine [100] 1 1
162 2 30 100 200.0 25.0 0.919 2.475 0.663 0.119 2.796 4.741 0.05 qd_soft ~wine [100] 1 1
163 3 10 50 100.0 5.0 0.869 1.722 0.653 0.255 2.147 2.033 0.05 qd_soft ~wine [50] 1 1
164 3 10 50 100.0 15.0 0.881 1.931 0.665 0.229 2.856 7.372 0.05 qd_soft ~wine [50] 1 1
165 3 10 50 100.0 25.0 0.894 2.087 0.626 0.315 3.103 1.267 0.05 qd_soft ~wine [50] 1 1
166 3 10 50 160.0 5.0 0.856 1.633 0.652 0.259 2.194 2.042 0.05 qd_soft ~wine [50] 1 1
167 3 10 50 160.0 15.0 0.869 2.004 0.679 0.194 3.267 1.683 0.05 qd_soft ~wine [50] 1 1
168 3 10 50 160.0 25.0 0.906 2.285 0.627 0.312 2.92 1.24 0.05 qd_soft ~wine [50] 1 1
169 3 10 50 200.0 5.0 0.856 1.668 0.658 0.245 2.237 2.048 0.05 qd_soft ~wine [50] 1 1
170 3 10 50 200.0 15.0 0.9 2.266 0.627 0.313 2.771 1.263 0.05 qd_soft ~wine [50] 1 1
171 3 10 50 200.0 25.0 0.881 2.294 0.627 0.314 3.808 1.085 0.05 qd_soft ~wine [50] 1 1
172 3 10 75 100.0 5.0 0.85 1.711 0.651 0.259 2.368 5.909 0.05 qd_soft ~wine [75] 1 1
173 3 10 75 100.0 15.0 0.881 1.964 0.662 0.235 2.873 2.336 0.05 qd_soft ~wine [75] 1 1
174 3 10 75 100.0 25.0 0.894 2.084 0.667 0.224 3.101 1.926 0.05 qd_soft ~wine [75] 1 1
175 3 10 75 160.0 5.0 0.838 1.744 0.653 0.255 2.577 10.605 0.05 qd_soft ~wine [75] 1 1
176 3 10 75 160.0 15.0 0.888 1.948 0.656 0.248 2.73 679.099 0.05 qd_soft ~wine [75] 1 1
177 3 10 75 160.0 25.0 0.888 2.089 0.673 0.209 3.343 2.568 0.05 qd_soft ~wine [75] 1 1
178 3 10 75 200.0 5.0 0.875 1.857 0.652 0.257 2.232 64.457 0.05 qd_soft ~wine [75] 1 1
179 3 10 75 200.0 15.0 0.875 2.168 0.642 0.28 3.262 1.744 0.05 qd_soft ~wine [75] 1 1
180 3 10 75 200.0 25.0 0.912 2.397 0.607 0.357 2.861 0.996 0.05 qd_soft ~wine [75] 1 1
181 3 10 100 100.0 5.0 0.862 1.59 0.659 0.241 2.072 1.935 0.05 qd_soft ~wine [100] 1 1
182 3 10 100 100.0 15.0 0.869 1.935 0.639 0.287 3.209 1.361 0.05 qd_soft ~wine [100] 1 1
183 3 10 100 100.0 25.0 0.9 2.083 0.641 0.283 2.902 1.401 0.05 qd_soft ~wine [100] 1 1
184 3 10 100 160.0 5.0 0.869 1.734 0.638 0.288 2.167 2.647 0.05 qd_soft ~wine [100] 1 1
185 3 10 100 160.0 15.0 0.881 1.944 0.643 0.278 2.864 1.84 0.05 qd_soft ~wine [100] 1 1
186 3 10 100 160.0 25.0 0.912 2.076 0.639 0.288 2.55 6.417 0.05 qd_soft ~wine [100] 1 1
187 3 10 100 200.0 5.0 0.85 1.709 0.645 0.274 2.382 6.061 0.05 qd_soft ~wine [100] 1 1
188 3 10 100 200.0 15.0 0.9 2.087 0.644 0.277 2.591 2.736 0.05 qd_soft ~wine [100] 1 1
189 3 10 100 200.0 25.0 0.919 2.45 0.628 0.311 2.771 1.007 0.05 qd_soft ~wine [100] 1 1
190 3 20 50 100.0 5.0 0.875 1.733 0.658 0.243 2.111 4.799 0.05 qd_soft ~wine [50] 1 1
191 3 20 50 100.0 15.0 0.894 1.939 0.631 0.305 2.53 1.315 0.05 qd_soft ~wine [50] 1 1
192 3 20 50 100.0 25.0 0.875 2.021 0.68 0.193 3.827 2.561 0.05 qd_soft ~wine [50] 1 1
193 3 20 50 160.0 5.0 0.881 1.737 0.658 0.245 2.029 1.85 0.05 qd_soft ~wine [50] 1 1
194 3 20 50 160.0 15.0 0.881 2.092 0.637 0.29 2.999 1.478 0.05 qd_soft ~wine [50] 1 1
195 3 20 50 160.0 25.0 0.894 2.239 0.647 0.269 3.242 1.268 0.05 qd_soft ~wine [50] 1 1
196 3 20 50 200.0 5.0 0.844 1.758 0.66 0.239 2.481 2.473 0.05 qd_soft ~wine [50] 1 1
197 3 20 50 200.0 15.0 0.894 2.076 0.636 0.294 2.682 1.317 0.05 qd_soft ~wine [50] 1 1
198 3 20 50 200.0 25.0 0.919 2.465 0.629 0.309 2.798 1.097 0.05 qd_soft ~wine [50] 1 1
199 3 20 75 100.0 5.0 0.869 1.632 0.668 0.22 2.051 1.922 0.05 qd_soft ~wine [75] 1 1
200 3 20 75 100.0 15.0 0.869 1.879 0.645 0.273 3.125 1.47 0.05 qd_soft ~wine [75] 1 1
201 3 20 75 100.0 25.0 0.875 1.974 0.684 0.182 3.769 1.67 0.05 qd_soft ~wine [75] 1 1
202 3 20 75 160.0 5.0 0.856 1.665 0.654 0.253 2.236 1.864 0.05 qd_soft ~wine [75] 1 1
203 3 20 75 160.0 15.0 0.888 2.036 0.642 0.281 2.788 1.443 0.05 qd_soft ~wine [75] 1 1
204 3 20 75 160.0 25.0 0.906 2.207 0.64 0.286 2.838 12.909 0.05 qd_soft ~wine [75] 1 1
205 3 20 75 200.0 5.0 0.85 1.629 0.657 0.246 2.28 2.061 0.05 qd_soft ~wine [75] 1 1
206 3 20 75 200.0 15.0 0.906 2.237 0.622 0.323 2.625 1.245 0.05 qd_soft ~wine [75] 1 1
207 3 20 75 200.0 25.0 0.906 2.439 0.613 0.344 3.077 1.08 0.05 qd_soft ~wine [75] 1 1
208 3 20 100 100.0 5.0 0.844 1.576 0.667 0.223 2.303 1184.653 0.05 qd_soft ~wine [100] 1 1
209 3 20 100 100.0 15.0 0.888 1.925 0.639 0.286 2.683 1.723 0.05 qd_soft ~wine [100] 1 1
210 3 20 100 100.0 25.0 0.888 2.01 0.629 0.308 3.29 1.854 0.05 qd_soft ~wine [100] 1 1
211 3 20 100 160.0 5.0 0.831 1.669 0.654 0.254 2.576 1.944 0.05 qd_soft ~wine [100] 1 1
212 3 20 100 160.0 15.0 0.894 2.016 0.642 0.28 2.626 1.416 0.05 qd_soft ~wine [100] 1 1
213 3 20 100 160.0 25.0 0.906 2.187 0.639 0.287 2.809 17.003 0.05 qd_soft ~wine [100] 1 1
214 3 20 100 200.0 5.0 0.85 1.705 0.636 0.295 2.373 1.727 0.05 qd_soft ~wine [100] 1 1
215 3 20 100 200.0 15.0 0.9 1.966 0.622 0.325 2.477 1.828 0.05 qd_soft ~wine [100] 1 1
216 3 20 100 200.0 25.0 0.906 2.491 0.618 0.332 3.127 1.134 0.05 qd_soft ~wine [100] 1 1
217 3 30 50 100.0 5.0 0.869 1.674 0.652 0.256 2.096 2.213 0.05 qd_soft ~wine [50] 1 1
218 3 30 50 100.0 15.0 0.881 1.911 0.67 0.215 2.813 1.864 0.05 qd_soft ~wine [50] 1 1
219 3 30 50 100.0 25.0 0.894 2.11 0.66 0.239 3.115 1.473 0.05 qd_soft ~wine [50] 1 1
220 3 30 50 160.0 5.0 0.838 1.7 0.65 0.262 2.519 1.907 0.05 qd_soft ~wine [50] 1 1
221 3 30 50 160.0 15.0 0.906 2.195 0.641 0.282 2.58 1.328 0.05 qd_soft ~wine [50] 1 1
222 3 30 50 160.0 25.0 0.919 2.467 0.624 0.319 2.798 1.144 0.05 qd_soft ~wine [50] 1 1
223 3 30 50 200.0 5.0 0.844 1.757 0.655 0.25 2.481 2.119 0.05 qd_soft ~wine [50] 1 1
224 3 30 50 200.0 15.0 0.894 2.07 0.649 0.264 2.695 5485220.723 0.05 qd_soft ~wine [50] 1 1
225 3 30 50 200.0 25.0 0.9 2.33 0.604 0.362 3.126 1.006 0.05 qd_soft ~wine [50] 1 1
