EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
165 3 10 50 100.0 25.0 0.825 0.805 5.534 0.9 4.755 3.662 0.05 qd_soft ~concrete [50] 1 1
166 3 10 50 160.0 5.0 0.777 0.674 5.804 0.89 2.19 3.807 0.05 qd_soft ~concrete [50] 1 1
167 3 10 50 160.0 15.0 0.825 0.841 5.856 0.888 3.209 3.357 0.05 qd_soft ~concrete [50] 1 1
168 3 10 50 160.0 25.0 0.845 1.018 6.873 0.846 3.837 3.433 0.05 qd_soft ~concrete [50] 1 1
169 3 10 50 200.0 5.0 0.816 0.736 5.711 0.894 1.656 3.718 0.05 qd_soft ~concrete [50] 1 1
170 3 10 50 200.0 15.0 0.864 0.85 5.528 0.9 1.97 3.269 0.05 qd_soft ~concrete [50] 1 1
171 3 10 50 200.0 25.0 0.864 0.947 6.039 0.881 2.811 3.273 0.05 qd_soft ~concrete [50] 1 1
172 3 10 75 100.0 5.0 0.767 0.66 5.691 0.894 2.361 3.84 0.05 qd_soft ~concrete [75] 1 1
173 3 10 75 100.0 15.0 0.835 0.767 5.584 0.898 2.77 3.392 0.05 qd_soft ~concrete [75] 1 1
174 3 10 75 100.0 25.0 0.835 0.814 5.651 0.896 4.174 3.588 0.05 qd_soft ~concrete [75] 1 1
175 3 10 75 160.0 5.0 0.796 0.728 6.056 0.88 1.94 4.058 0.05 qd_soft ~concrete [75] 1 1
176 3 10 75 160.0 15.0 0.874 0.907 5.882 0.887 1.807 3.333 0.05 qd_soft ~concrete [75] 1 1
177 3 10 75 160.0 25.0 0.816 0.873 6.073 0.88 5.45 3.322 0.05 qd_soft ~concrete [75] 1 1
178 3 10 75 200.0 5.0 0.777 0.703 5.921 0.886 2.229 3.81 0.05 qd_soft ~concrete [75] 1 1
179 3 10 75 200.0 15.0 0.845 0.86 5.67 0.895 2.56 3.353 0.05 qd_soft ~concrete [75] 1 1
180 3 10 75 200.0 25.0 0.845 0.933 5.845 0.889 3.751 3.318 0.05 qd_soft ~concrete [75] 1 1
181 3 10 100 100.0 5.0 0.748 0.632 5.197 0.912 2.719 3.669 0.05 qd_soft ~concrete [100] 1 1
182 3 10 100 100.0 15.0 0.796 0.711 5.579 0.899 4.314 3.824 0.05 qd_soft ~concrete [100] 1 1
183 3 10 100 100.0 25.0 0.854 0.79 5.304 0.908 3.106 3.228 0.05 qd_soft ~concrete [100] 1 1
184 3 10 100 160.0 5.0 0.845 0.728 5.532 0.9 1.289 3.378 0.05 qd_soft ~concrete [100] 1 1
185 3 10 100 160.0 15.0 0.835 0.764 5.456 0.903 2.792 3.464 0.05 qd_soft ~concrete [100] 1 1
186 3 10 100 160.0 25.0 0.825 0.838 5.676 0.895 4.793 3.373 0.05 qd_soft ~concrete [100] 1 1
187 3 10 100 200.0 5.0 0.66 17.542 115.191 -42.238 24.018 6.8 0.05 qd_soft ~concrete [100] 1 1
188 3 10 100 200.0 15.0 0.835 0.873 5.964 0.884 2.89 3.407 0.05 qd_soft ~concrete [100] 1 1
189 3 10 100 200.0 25.0 0.845 0.851 5.677 0.895 3.676 3.317 0.05 qd_soft ~concrete [100] 1 1
190 3 20 50 100.0 5.0 0.767 0.651 5.522 0.901 2.347 3.991 0.05 qd_soft ~concrete [50] 1 1
191 3 20 50 100.0 15.0 0.835 0.813 5.871 0.888 2.832 3.343 0.05 qd_soft ~concrete [50] 1 1
192 3 20 50 100.0 25.0 0.845 0.854 6.042 0.881 3.664 3.458 0.05 qd_soft ~concrete [50] 1 1
193 3 20 50 160.0 5.0 0.777 0.699 5.897 0.887 2.225 3.718 0.05 qd_soft ~concrete [50] 1 1
194 3 20 50 160.0 15.0 0.806 0.795 5.909 0.886 3.958 3.411 0.05 qd_soft ~concrete [50] 1 1
195 3 20 50 160.0 25.0 0.825 0.848 6.097 0.879 4.79 3.382 0.05 qd_soft ~concrete [50] 1 1
196 3 20 50 200.0 5.0 0.796 0.678 5.779 0.891 1.872 4.007 0.05 qd_soft ~concrete [50] 1 1
197 3 20 50 200.0 15.0 0.845 0.836 5.62 0.897 2.524 3.216 0.05 qd_soft ~concrete [50] 1 1
198 3 20 50 200.0 25.0 0.883 0.907 5.687 0.895 2.035 3.32 0.05 qd_soft ~concrete [50] 1 1
199 3 20 75 100.0 5.0 0.835 0.664 5.432 0.904 1.323 3.709 0.05 qd_soft ~concrete [75] 1 1
200 3 20 75 100.0 15.0 0.864 0.796 5.71 0.894 1.922 3.387 0.05 qd_soft ~concrete [75] 1 1
201 3 20 75 100.0 25.0 0.864 0.791 5.542 0.9 2.663 3.274 0.05 qd_soft ~concrete [75] 1 1
202 3 20 75 160.0 5.0 0.806 0.666 5.599 0.898 1.729 4.448 0.05 qd_soft ~concrete [75] 1 1
203 3 20 75 160.0 15.0 0.835 0.76 5.385 0.906 2.774 3.391 0.05 qd_soft ~concrete [75] 1 1
204 3 20 75 160.0 25.0 0.854 0.824 5.645 0.896 3.144 3.24 0.05 qd_soft ~concrete [75] 1 1
205 3 20 75 200.0 5.0 0.777 0.678 5.787 0.891 2.193 3.601 0.05 qd_soft ~concrete [75] 1 1
206 3 20 75 200.0 15.0 0.845 0.839 5.57 0.899 2.516 3.226 0.05 qd_soft ~concrete [75] 1 1
207 3 20 75 200.0 25.0 0.854 0.916 5.827 0.889 3.238 3.311 0.05 qd_soft ~concrete [75] 1 1
208 3 20 100 100.0 5.0 0.767 0.678 5.559 0.899 2.383 3.745 0.05 qd_soft ~concrete [100] 1 1
209 3 20 100 100.0 15.0 0.816 0.759 5.603 0.898 3.509 3.347 0.05 qd_soft ~concrete [100] 1 1
210 3 20 100 100.0 25.0 0.796 0.743 5.782 0.891 6.754 3.84 0.05 qd_soft ~concrete [100] 1 1
211 3 20 100 160.0 5.0 0.767 0.68 5.471 0.902 2.392 3.902 0.05 qd_soft ~concrete [100] 1 1
212 3 20 100 160.0 15.0 0.777 0.733 5.861 0.888 5.296 3.632 0.05 qd_soft ~concrete [100] 1 1
213 3 20 100 160.0 25.0 0.874 0.851 5.713 0.894 2.329 3.301 0.05 qd_soft ~concrete [100] 1 1
214 3 20 100 200.0 5.0 0.835 0.646 5.511 0.901 1.334 4.846 0.05 qd_soft ~concrete [100] 1 1
215 3 20 100 200.0 15.0 0.825 0.823 6.092 0.879 3.204 3.598 0.05 qd_soft ~concrete [100] 1 1
216 3 20 100 200.0 25.0 0.874 0.896 5.857 0.888 2.368 3.346 0.05 qd_soft ~concrete [100] 1 1
217 3 30 50 100.0 5.0 0.767 0.61 5.968 0.884 2.302 4.551 0.05 qd_soft ~concrete [50] 1 1
218 3 30 50 100.0 15.0 0.893 0.809 5.444 0.903 1.298 3.246 0.05 qd_soft ~concrete [50] 1 1
