EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
117 2 20 50 200.0 25.0 0.958 3.274 0.007 -0.001 3.276 -3.445 0.05 qd_soft ~naval [50] 1 1
118 2 20 75 100.0 5.0 0.92 3.099 0.007 0.035 3.262 -3.438 0.05 qd_soft ~naval [75] 1 1
119 2 20 75 100.0 15.0 0.947 3.202 0.007 0.008 3.215 -3.436 0.05 qd_soft ~naval [75] 1 1
120 2 20 75 100.0 25.0 0.967 3.248 0.007 0.001 3.249 -3.445 0.05 qd_soft ~naval [75] 1 1
121 2 20 75 160.0 5.0 0.924 3.123 0.007 0.004 3.243 -3.426 0.05 qd_soft ~naval [75] 1 1
122 2 20 75 160.0 15.0 0.952 3.246 0.007 0.002 3.25 -3.441 0.05 qd_soft ~naval [75] 1 1
123 2 20 75 160.0 25.0 0.959 3.278 0.007 0.001 3.283 -3.446 0.05 qd_soft ~naval [75] 1 1
124 2 20 75 200.0 5.0 0.92 3.119 0.007 0.01 3.281 -3.422 0.05 qd_soft ~naval [75] 1 1
125 2 20 75 200.0 15.0 0.949 3.225 0.007 0.014 3.234 -3.443 0.05 qd_soft ~naval [75] 1 1
126 2 20 75 200.0 25.0 0.949 3.23 0.007 -0.002 3.237 -3.433 0.05 qd_soft ~naval [75] 1 1
127 2 20 100 100.0 5.0 0.922 3.075 0.007 0.037 3.212 -3.442 0.05 qd_soft ~naval [100] 1 1
128 2 20 100 100.0 15.0 0.953 3.221 0.007 0.012 3.221 -3.448 0.05 qd_soft ~naval [100] 1 1
129 2 20 100 100.0 25.0 0.956 3.245 0.007 0.001 3.247 -3.443 0.05 qd_soft ~naval [100] 1 1
130 2 20 100 160.0 5.0 0.922 3.098 0.007 0.005 3.243 -3.412 0.05 qd_soft ~naval [100] 1 1
131 2 20 100 160.0 15.0 0.949 3.204 0.007 0.002 3.208 -3.434 0.05 qd_soft ~naval [100] 1 1
132 2 20 100 160.0 25.0 0.959 3.251 0.007 0.007 3.253 -3.449 0.05 qd_soft ~naval [100] 1 1
133 2 20 100 200.0 5.0 0.921 3.14 0.007 0.013 3.294 -3.428 0.05 qd_soft ~naval [100] 1 1
134 2 20 100 200.0 15.0 0.945 3.205 0.007 0.006 3.225 -3.436 0.05 qd_soft ~naval [100] 1 1
135 2 20 100 200.0 25.0 0.963 3.27 0.007 0.004 3.275 -3.446 0.05 qd_soft ~naval [100] 1 1
136 2 30 50 100.0 5.0 0.914 3.059 0.007 0.051 3.291 -3.448 0.05 qd_soft ~naval [50] 1 1
137 2 30 50 100.0 15.0 0.961 3.228 0.007 -0.002 3.232 -3.438 0.05 qd_soft ~naval [50] 1 1
138 2 30 50 100.0 25.0 0.965 3.228 0.007 0.011 3.23 -3.447 0.05 qd_soft ~naval [50] 1 1
139 2 30 50 160.0 5.0 0.92 3.115 0.007 0.031 3.272 -3.444 0.05 qd_soft ~naval [50] 1 1
140 2 30 50 160.0 15.0 0.951 3.219 0.007 -0.007 3.23 -3.422 0.05 qd_soft ~naval [50] 1 1
141 2 30 50 160.0 25.0 0.968 3.262 0.007 0.005 3.263 -3.448 0.05 qd_soft ~naval [50] 1 1
142 2 30 50 200.0 5.0 0.927 3.109 0.007 0.007 3.207 -3.42 0.05 qd_soft ~naval [50] 1 1
143 2 30 50 200.0 15.0 0.949 3.217 0.007 0.01 3.222 -3.444 0.05 qd_soft ~naval [50] 1 1
144 2 30 50 200.0 25.0 0.954 3.255 0.007 0.008 3.269 -3.438 0.05 qd_soft ~naval [50] 1 1
145 2 30 75 100.0 5.0 0.927 3.123 0.007 0.023 3.216 -3.44 0.05 qd_soft ~naval [75] 1 1
146 2 30 75 100.0 15.0 0.954 3.224 0.007 0.01 3.231 -3.443 0.05 qd_soft ~naval [75] 1 1
147 2 30 75 100.0 25.0 0.956 3.259 0.007 0.009 3.276 -3.438 0.05 qd_soft ~naval [75] 1 1
148 2 30 75 160.0 5.0 0.918 3.115 0.007 0.014 3.302 -3.428 0.05 qd_soft ~naval [75] 1 1
149 2 30 75 160.0 15.0 0.954 3.214 0.007 0.011 3.216 -3.446 0.05 qd_soft ~naval [75] 1 1
150 2 30 75 160.0 25.0 0.962 3.264 0.007 0.007 3.268 -3.448 0.05 qd_soft ~naval [75] 1 1
151 2 30 75 200.0 5.0 0.921 3.131 0.007 0.007 3.288 -3.422 0.05 qd_soft ~naval [75] 1 1
152 2 30 75 200.0 15.0 0.957 3.236 0.007 0.003 3.242 -3.438 0.05 qd_soft ~naval [75] 1 1
153 2 30 75 200.0 25.0 0.956 3.259 0.007 0.006 3.266 -3.444 0.05 qd_soft ~naval [75] 1 1
