EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
94 energy 1 10 5000 0.001 1 75 0.5 0.1 0.05 0.05965 0.92572 0.51975 0.05588 0.94245 0.51772 0.07428 0.87013 0.52173
95 energy 1 10 5000 0.001 1 75 0.5 1 0.05 0.13346 0.6558 0.46419 0.11022 0.72662 0.46344 0.16806 0.64935 0.4644
96 energy 1 10 5000 0.001 1 75 0.75 0 0.05 0.00643 0.91848 0.06096 0.01817 0.71223 0.06052 0.02671 0.61039 0.0721
97 energy 1 10 5000 0.001 1 75 0.75 0.001 0.05 0.00871 0.93841 0.08695 0.01349 0.82734 0.08523 0.02182 0.76623 0.10234
98 energy 1 10 5000 0.001 1 75 0.75 0.01 0.05 0.01434 0.96014 0.14112 0.0146 0.90647 0.13988 0.02085 0.90909 0.15468
99 energy 1 10 5000 0.001 1 75 0.75 0.1 0.05 0.05965 0.92572 0.51975 0.05588 0.94245 0.51772 0.07428 0.87013 0.52173
100 energy 1 10 5000 0.001 1 75 0.75 1 0.05 0.13346 0.6558 0.46419 0.11022 0.72662 0.46344 0.16806 0.64935 0.4644
101 energy 1 10 5000 0.0001 1 75 0.1 0 0.05 0.00874 0.99457 0.09 0.01357 0.79856 0.08928 0.02175 0.75325 0.10952
102 energy 1 10 5000 0.0001 1 75 0.1 0.001 0.05 0.00927 0.98551 0.09508 0.01377 0.84173 0.09424 0.01808 0.85714 0.1152
103 energy 1 10 5000 0.0001 1 75 0.1 0.01 0.05 0.01415 0.93116 0.13859 0.01493 0.91367 0.13734 0.02055 0.88312 0.15223
104 energy 1 10 5000 0.0001 1 75 0.1 0.1 0.05 0.0595 0.92391 0.51933 0.05578 0.94245 0.51748 0.07407 0.87013 0.5215
105 energy 1 10 5000 0.0001 1 75 0.1 1 0.05 0.13783 0.63949 0.45963 0.11377 0.70504 0.4589 0.17331 0.64935 0.45981
106 energy 1 10 5000 0.0001 1 75 0.25 0 0.05 0.00874 0.99457 0.09 0.01357 0.79856 0.08928 0.02175 0.75325 0.10952
