EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
228 kin8nm 1 20 5000 0.0001 1 50 0.25 0.01 0.05 0.07425 0.94353 0.47602 0.07674 0.95051 0.48362 0.07706 0.94146 0.47541
613 kin8nm 2 10 5000 0.01 1 75 0.5 0.01 0.05 0.0804 0.97338 0.56545 0.08236 0.96814 0.56412 0.08145 0.97317 0.56649
414 kin8nm 1 30 5000 0.0001 1 50 0.5 0.1 0.05 0.09807 0.91996 0.58547 0.09851 0.92407 0.58578 0.09883 0.91951 0.58579
56 kin8nm 1 10 5000 0.0001 1 50 0.75 0 0.05 0.03128 0.96337 0.22156 0.04234 0.9078 0.21965 0.03951 0.91951 0.22408
229 kin8nm 1 20 5000 0.0001 1 50 0.25 0.1 0.05 0.09927 0.9186 0.57986 0.1023 0.90915 0.58222 0.10076 0.90976 0.58052
614 kin8nm 2 10 5000 0.01 1 75 0.5 0.1 0.05 0.09889 0.9203 0.58482 0.09933 0.91661 0.58494 0.09993 0.92073 0.58593
415 kin8nm 1 30 5000 0.0001 1 50 0.5 1 0.05 0.23571 0.61099 0.33877 0.22777 0.6339 0.33889 0.23337 0.60854 0.33873
57 kin8nm 1 10 5000 0.0001 1 50 0.75 0.001 0.05 0.03809 0.96337 0.25719 0.04317 0.93085 0.25479 0.0433 0.92073 0.25714
230 kin8nm 1 20 5000 0.0001 1 50 0.25 1 0.05 0.24037 0.6098 0.33118 0.25765 0.58441 0.33144 0.24299 0.6061 0.33116
615 kin8nm 2 10 5000 0.01 1 75 0.5 1 0.05 0.24877 0.59301 0.32442 0.24734 0.60339 0.32449 0.25548 0.57927 0.32442
416 kin8nm 1 30 5000 0.0001 1 50 0.75 0 0.05 0.02958 0.95828 0.20789 0.04008 0.90102 0.20687 0.04177 0.8939 0.21325
58 kin8nm 1 10 5000 0.0001 1 50 0.75 0.01 0.05 0.07378 0.94879 0.48191 0.07308 0.95458 0.48377 0.07531 0.94268 0.4804
231 kin8nm 1 20 5000 0.0001 1 50 0.5 0 0.05 0.0333 0.96625 0.2301 0.0438 0.90508 0.22861 0.04531 0.9 0.23126
616 kin8nm 2 10 5000 0.01 1 75 0.75 0 0.05 0.03459 0.93827 0.21039 0.04175 0.90915 0.21022 0.03996 0.91829 0.21036
417 kin8nm 1 30 5000 0.0001 1 50 0.75 0.001 0.05 0.03644 0.96812 0.24782 0.04341 0.92814 0.24915 0.04066 0.93293 0.25092
59 kin8nm 1 10 5000 0.0001 1 50 0.75 0.1 0.05 0.09836 0.92132 0.58881 0.09457 0.93085 0.58912 0.09833 0.92195 0.5891
232 kin8nm 1 20 5000 0.0001 1 50 0.5 0.001 0.05 0.03789 0.95455 0.252 0.04547 0.91729 0.24983 0.04471 0.91463 0.25264
