EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
71 concrete 1 10 5000 0.01 1 75 0.5 0 0.05 0.02099 0.90553 0.15346 0.04273 0.79032 0.15267 0.04202 0.82524 0.17142
72 concrete 1 10 5000 0.01 1 75 0.5 0.001 0.05 0.03487 0.95682 0.27248 0.03563 0.94624 0.26422 0.0461 0.91262 0.29571
73 concrete 1 10 5000 0.01 1 75 0.5 0.01 0.05 0.05153 0.92848 0.3682 0.05176 0.95699 0.35743 0.04837 0.96117 0.38726
74 concrete 1 10 5000 0.01 1 75 0.5 0.1 0.05 0.08825 0.91498 0.63758 0.08074 0.96237 0.6345 0.07831 0.95146 0.63887
75 concrete 1 10 5000 0.01 1 75 0.5 1 0.05 0.22561 0.60864 0.39686 0.16667 0.71505 0.3966 0.16943 0.68932 0.39708
76 concrete 1 10 5000 0.01 1 75 0.75 0 0.05 0.02099 0.90553 0.15346 0.04273 0.79032 0.15267 0.04202 0.82524 0.17142
77 concrete 1 10 5000 0.01 1 75 0.75 0.001 0.05 0.03487 0.95682 0.27248 0.03563 0.94624 0.26422 0.0461 0.91262 0.29571
78 concrete 1 10 5000 0.01 1 75 0.75 0.01 0.05 0.05153 0.92848 0.3682 0.05176 0.95699 0.35743 0.04837 0.96117 0.38726
79 concrete 1 10 5000 0.01 1 75 0.75 0.1 0.05 0.08825 0.91498 0.63758 0.08074 0.96237 0.6345 0.07831 0.95146 0.63887
80 concrete 1 10 5000 0.01 1 75 0.75 1 0.05 0.22561 0.60864 0.39686 0.16667 0.71505 0.3966 0.16943 0.68932 0.39708
81 concrete 1 10 5000 0.001 1 75 0.1 0 0.05 0.01603 0.91363 0.12334 0.04641 0.7043 0.12749 0.08118 0.69903 0.1343
82 concrete 1 10 5000 0.001 1 75 0.1 0.001 0.05 0.02223 0.93387 0.17881 0.04148 0.83871 0.17366 0.05382 0.83495 0.19579
83 concrete 1 10 5000 0.001 1 75 0.1 0.01 0.05 0.04649 0.95142 0.35691 0.04819 0.95699 0.3483 0.04822 0.94175 0.37705
84 concrete 1 10 5000 0.001 1 75 0.1 0.1 0.05 0.08761 0.92848 0.63604 0.08017 0.96237 0.63325 0.07832 0.96117 0.63736
85 concrete 1 10 5000 0.001 1 75 0.1 1 0.05 0.21814 0.62078 0.40394 0.16145 0.72581 0.40371 0.16725 0.68932 0.40373
86 concrete 1 10 5000 0.001 1 75 0.25 0 0.05 0.01603 0.91363 0.12334 0.04641 0.7043 0.12749 0.08118 0.69903 0.1343
87 concrete 1 10 5000 0.001 1 75 0.25 0.001 0.05 0.02223 0.93387 0.17881 0.04148 0.83871 0.17366 0.05382 0.83495 0.19579
88 concrete 1 10 5000 0.001 1 75 0.25 0.01 0.05 0.04649 0.95142 0.35691 0.04819 0.95699 0.3483 0.04822 0.94175 0.37705
89 concrete 1 10 5000 0.001 1 75 0.25 0.1 0.05 0.08761 0.92848 0.63604 0.08017 0.96237 0.63325 0.07832 0.96117 0.63736
