EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
107 2 10 [100] 160.0 20.0 0.2 0.8 1.724 0.643 0.05 [100] 1000 0.01 0.98 1 1
108 2 10 [100] 160.0 20.0 0.4 0.769 1.802 0.658 0.05 [100] 1000 0.01 0.98 1 1
109 2 20 [50] 160.0 5.0 0.05 0.838 1.651 0.639 0.05 [50] 1000 0.01 0.98 1 1
110 2 20 [50] 160.0 5.0 0.2 0.769 1.517 0.638 0.05 [50] 1000 0.01 0.98 1 1
111 2 20 [50] 160.0 5.0 0.4 0.794 1.555 0.623 0.05 [50] 1000 0.01 0.98 1 1
112 2 20 [50] 160.0 15.0 0.05 0.881 1.859 0.619 0.05 [50] 1000 0.01 0.98 1 1
113 2 20 [50] 160.0 15.0 0.2 0.831 1.809 0.618 0.05 [50] 1000 0.01 0.98 1 1
114 2 20 [50] 160.0 15.0 0.4 0.8 1.905 0.638 0.05 [50] 1000 0.01 0.98 1 1
115 2 20 [50] 160.0 20.0 0.05 0.906 1.977 0.616 0.05 [50] 1000 0.01 0.98 1 1
116 2 20 [50] 160.0 20.0 0.2 0.862 1.867 0.635 0.05 [50] 1000 0.01 0.98 1 1
117 2 20 [50] 160.0 20.0 0.4 0.819 1.898 0.63 0.05 [50] 1000 0.01 0.98 1 1
118 2 20 [75] 160.0 5.0 0.05 0.781 1.49 0.603 0.05 [75] 1000 0.01 0.98 1 1
119 2 20 [75] 160.0 5.0 0.2 0.806 1.496 0.619 0.05 [75] 1000 0.01 0.98 1 1
120 2 20 [75] 160.0 5.0 0.4 0.731 1.433 0.61 0.05 [75] 1000 0.01 0.98 1 1
121 2 20 [75] 160.0 15.0 0.05 0.856 1.776 0.623 0.05 [75] 1000 0.01 0.98 1 1
122 2 20 [75] 160.0 15.0 0.2 0.825 1.741 0.638 0.05 [75] 1000 0.01 0.98 1 1
123 2 20 [75] 160.0 15.0 0.4 0.8 1.717 0.635 0.05 [75] 1000 0.01 0.98 1 1
124 2 20 [75] 160.0 20.0 0.05 0.831 1.817 0.627 0.05 [75] 1000 0.01 0.98 1 1
125 2 20 [75] 160.0 20.0 0.2 0.812 1.826 0.642 0.05 [75] 1000 0.01 0.98 1 1
126 2 20 [75] 160.0 20.0 0.4 0.788 1.877 0.649 0.05 [75] 1000 0.01 0.98 1 1
127 2 20 [100] 160.0 5.0 0.05 0.8 1.469 0.622 0.05 [100] 1000 0.01 0.98 1 1
128 2 20 [100] 160.0 5.0 0.2 0.788 1.412 0.613 0.05 [100] 1000 0.01 0.98 1 1
129 2 20 [100] 160.0 5.0 0.4 0.738 1.439 0.633 0.05 [100] 1000 0.01 0.98 1 1
130 2 20 [100] 160.0 15.0 0.05 0.794 1.65 0.605 0.05 [100] 1000 0.01 0.98 1 1
131 2 20 [100] 160.0 15.0 0.2 0.8 1.745 0.63 0.05 [100] 1000 0.01 0.98 1 1
132 2 20 [100] 160.0 15.0 0.4 0.825 1.719 0.61 0.05 [100] 1000 0.01 0.98 1 1
133 2 20 [100] 160.0 20.0 0.05 0.844 1.798 0.606 0.05 [100] 1000 0.01 0.98 1 1
134 2 20 [100] 160.0 20.0 0.2 0.838 1.761 0.619 0.05 [100] 1000 0.01 0.98 1 1
135 2 20 [100] 160.0 20.0 0.4 0.825 1.759 0.629 0.05 [100] 1000 0.01 0.98 1 1
136 2 30 [50] 160.0 5.0 0.05 0.819 1.591 0.645 0.05 [50] 1000 0.01 0.98 1 1
137 2 30 [50] 160.0 5.0 0.2 0.75 1.487 0.632 0.05 [50] 1000 0.01 0.98 1 1
138 2 30 [50] 160.0 5.0 0.4 0.769 1.651 0.645 0.05 [50] 1000 0.01 0.98 1 1
139 2 30 [50] 160.0 15.0 0.05 0.85 1.953 0.629 0.05 [50] 1000 0.01 0.98 1 1
140 2 30 [50] 160.0 15.0 0.2 0.862 1.891 0.656 0.05 [50] 1000 0.01 0.98 1 1
141 2 30 [50] 160.0 15.0 0.4 0.831 1.912 0.633 0.05 [50] 1000 0.01 0.98 1 1
142 2 30 [50] 160.0 20.0 0.05 0.862 1.992 0.624 0.05 [50] 1000 0.01 0.98 1 1
143 2 30 [50] 160.0 20.0 0.2 0.85 1.883 0.643 0.05 [50] 1000 0.01 0.98 1 1
144 2 30 [50] 160.0 20.0 0.4 0.838 2.048 0.65 0.05 [50] 1000 0.01 0.98 1 1
145 2 30 [75] 160.0 5.0 0.05 0.781 1.522 0.618 0.05 [75] 1000 0.01 0.98 1 1
146 2 30 [75] 160.0 5.0 0.2 0.762 1.473 0.626 0.05 [75] 1000 0.01 0.98 1 1
147 2 30 [75] 160.0 5.0 0.4 0.694 1.472 0.648 0.05 [75] 1000 0.01 0.98 1 1
148 2 30 [75] 160.0 15.0 0.05 0.862 1.79 0.621 0.05 [75] 1000 0.01 0.98 1 1
149 2 30 [75] 160.0 15.0 0.2 0.781 1.709 0.646 0.05 [75] 1000 0.01 0.98 1 1
150 2 30 [75] 160.0 15.0 0.4 0.781 1.841 0.622 0.05 [75] 1000 0.01 0.98 1 1
151 2 30 [75] 160.0 20.0 0.05 0.838 1.897 0.614 0.05 [75] 1000 0.01 0.98 1 1
152 2 30 [75] 160.0 20.0 0.2 0.825 1.863 0.612 0.05 [75] 1000 0.01 0.98 1 1
153 2 30 [75] 160.0 20.0 0.4 0.806 1.86 0.619 0.05 [75] 1000 0.01 0.98 1 1
154 2 30 [100] 160.0 5.0 0.05 0.788 1.458 0.648 0.05 [100] 1000 0.01 0.98 1 1
155 2 30 [100] 160.0 5.0 0.2 0.744 1.376 0.618 0.05 [100] 1000 0.01 0.98 1 1
156 2 30 [100] 160.0 5.0 0.4 0.681 1.426 0.621 0.05 [100] 1000 0.01 0.98 1 1
157 2 30 [100] 160.0 15.0 0.05 0.831 1.758 0.6 0.05 [100] 1000 0.01 0.98 1 1
158 2 30 [100] 160.0 15.0 0.2 0.788 1.642 0.634 0.05 [100] 1000 0.01 0.98 1 1
159 2 30 [100] 160.0 15.0 0.4 0.788 1.702 0.637 0.05 [100] 1000 0.01 0.98 1 1
160 2 30 [100] 160.0 20.0 0.05 0.825 1.77 0.605 0.05 [100] 1000 0.01 0.98 1 1
161 2 30 [100] 160.0 20.0 0.2 0.831 1.775 0.626 0.05 [100] 1000 0.01 0.98 1 1
162 2 30 [100] 160.0 20.0 0.4 0.781 1.827 0.652 0.05 [100] 1000 0.01 0.98 1 1
163 3 10 [50] 160.0 5.0 0.05 0.819 1.41 0.629 0.05 [50] 1000 0.01 0.98 1 1
164 3 10 [50] 160.0 5.0 0.2 0.8 1.427 0.626 0.05 [50] 1000 0.01 0.98 1 1
165 3 10 [50] 160.0 5.0 0.4 0.806 1.519 0.641 0.05 [50] 1000 0.01 0.98 1 1
166 3 10 [50] 160.0 15.0 0.05 0.844 1.647 0.665 0.05 [50] 1000 0.01 0.98 1 1
167 3 10 [50] 160.0 15.0 0.2 0.869 1.678 0.645 0.05 [50] 1000 0.01 0.98 1 1
168 3 10 [50] 160.0 15.0 0.4 0.838 1.763 0.635 0.05 [50] 1000 0.01 0.98 1 1
169 3 10 [50] 160.0 20.0 0.05 0.856 1.685 0.638 0.05 [50] 1000 0.01 0.98 1 1
170 3 10 [50] 160.0 20.0 0.2 0.856 1.689 0.64 0.05 [50] 1000 0.01 0.98 1 1
171 3 10 [50] 160.0 20.0 0.4 0.812 1.757 0.636 0.05 [50] 1000 0.01 0.98 1 1
172 3 10 [75] 160.0 5.0 0.05 0.806 1.403 0.644 0.05 [75] 1000 0.01 0.98 1 1
173 3 10 [75] 160.0 5.0 0.2 0.762 1.37 0.649 0.05 [75] 1000 0.01 0.98 1 1
174 3 10 [75] 160.0 5.0 0.4 0.744 1.38 0.65 0.05 [75] 1000 0.01 0.98 1 1
175 3 10 [75] 160.0 15.0 0.05 0.825 1.572 0.651 0.05 [75] 1000 0.01 0.98 1 1
176 3 10 [75] 160.0 15.0 0.2 0.825 1.536 0.613 0.05 [75] 1000 0.01 0.98 1 1
177 3 10 [75] 160.0 15.0 0.4 0.8 1.646 0.614 0.05 [75] 1000 0.01 0.98 1 1
178 3 10 [75] 160.0 20.0 0.05 0.856 1.653 0.667 0.05 [75] 1000 0.01 0.98 1 1
179 3 10 [75] 160.0 20.0 0.2 0.856 1.664 0.622 0.05 [75] 1000 0.01 0.98 1 1
180 3 10 [75] 160.0 20.0 0.4 0.819 1.73 0.641 0.05 [75] 1000 0.01 0.98 1 1
181 3 10 [100] 160.0 5.0 0.05 0.794 1.319 0.636 0.05 [100] 1000 0.01 0.98 1 1
182 3 10 [100] 160.0 5.0 0.2 0.788 1.295 0.64 0.05 [100] 1000 0.01 0.98 1 1
183 3 10 [100] 160.0 5.0 0.4 0.706 1.293 0.599 0.05 [100] 1000 0.01 0.98 1 1
184 3 10 [100] 160.0 15.0 0.05 0.831 1.504 0.634 0.05 [100] 1000 0.01 0.98 1 1
185 3 10 [100] 160.0 15.0 0.2 0.825 1.509 0.63 0.05 [100] 1000 0.01 0.98 1 1
186 3 10 [100] 160.0 15.0 0.4 0.756 1.564 0.619 0.05 [100] 1000 0.01 0.98 1 1
187 3 10 [100] 160.0 20.0 0.05 0.831 1.582 0.623 0.05 [100] 1000 0.01 0.98 1 1
188 3 10 [100] 160.0 20.0 0.2 0.856 1.527 0.629 0.05 [100] 1000 0.01 0.98 1 1
189 3 10 [100] 160.0 20.0 0.4 0.8 1.661 0.629 0.05 [100] 1000 0.01 0.98 1 1
190 3 20 [50] 160.0 5.0 0.05 0.825 1.444 0.65 0.05 [50] 1000 0.01 0.98 1 1
191 3 20 [50] 160.0 5.0 0.2 0.788 1.376 0.623 0.05 [50] 1000 0.01 0.98 1 1
192 3 20 [50] 160.0 5.0 0.4 0.756 1.417 0.627 0.05 [50] 1000 0.01 0.98 1 1
193 3 20 [50] 160.0 15.0 0.05 0.862 1.638 0.659 0.05 [50] 1000 0.01 0.98 1 1
194 3 20 [50] 160.0 15.0 0.2 0.844 1.68 0.616 0.05 [50] 1000 0.01 0.98 1 1
195 3 20 [50] 160.0 15.0 0.4 0.788 1.668 0.634 0.05 [50] 1000 0.01 0.98 1 1
196 3 20 [50] 160.0 20.0 0.05 0.869 1.694 0.633 0.05 [50] 1000 0.01 0.98 1 1
197 3 20 [50] 160.0 20.0 0.2 0.844 1.704 0.628 0.05 [50] 1000 0.01 0.98 1 1
198 3 20 [50] 160.0 20.0 0.4 0.8 1.743 0.619 0.05 [50] 1000 0.01 0.98 1 1
199 3 20 [75] 160.0 5.0 0.05 0.812 1.388 0.648 0.05 [75] 1000 0.01 0.98 1 1
200 3 20 [75] 160.0 5.0 0.2 0.806 1.295 0.628 0.05 [75] 1000 0.01 0.98 1 1
201 3 20 [75] 160.0 5.0 0.4 0.744 1.336 0.592 0.05 [75] 1000 0.01 0.98 1 1
202 3 20 [75] 160.0 15.0 0.05 0.831 1.589 0.644 0.05 [75] 1000 0.01 0.98 1 1
203 3 20 [75] 160.0 15.0 0.2 0.812 1.517 0.624 0.05 [75] 1000 0.01 0.98 1 1
204 3 20 [75] 160.0 15.0 0.4 0.781 1.619 0.623 0.05 [75] 1000 0.01 0.98 1 1
205 3 20 [75] 160.0 20.0 0.05 0.844 1.68 0.643 0.05 [75] 1000 0.01 0.98 1 1
206 3 20 [75] 160.0 20.0 0.2 0.844 1.612 0.626 0.05 [75] 1000 0.01 0.98 1 1
207 3 20 [75] 160.0 20.0 0.4 0.812 1.632 0.619 0.05 [75] 1000 0.01 0.98 1 1
208 3 20 [100] 160.0 5.0 0.05 0.788 1.334 0.635 0.05 [100] 1000 0.01 0.98 1 1
209 3 20 [100] 160.0 5.0 0.2 0.762 1.275 0.642 0.05 [100] 1000 0.01 0.98 1 1
210 3 20 [100] 160.0 5.0 0.4 0.719 1.25 0.622 0.05 [100] 1000 0.01 0.98 1 1
211 3 20 [100] 160.0 15.0 0.05 0.825 1.511 0.637 0.05 [100] 1000 0.01 0.98 1 1
212 3 20 [100] 160.0 15.0 0.2 0.806 1.495 0.623 0.05 [100] 1000 0.01 0.98 1 1
213 3 20 [100] 160.0 15.0 0.4 0.788 1.484 0.615 0.05 [100] 1000 0.01 0.98 1 1
214 3 20 [100] 160.0 20.0 0.05 0.856 1.566 0.638 0.05 [100] 1000 0.01 0.98 1 1
215 3 20 [100] 160.0 20.0 0.2 0.8 1.574 0.615 0.05 [100] 1000 0.01 0.98 1 1
216 3 20 [100] 160.0 20.0 0.4 0.788 1.611 0.621 0.05 [100] 1000 0.01 0.98 1 1
217 3 30 [50] 160.0 5.0 0.05 0.825 1.473 0.658 0.05 [50] 1000 0.01 0.98 1 1
218 3 30 [50] 160.0 5.0 0.2 0.819 1.387 0.651 0.05 [50] 1000 0.01 0.98 1 1
219 3 30 [50] 160.0 5.0 0.4 0.769 1.391 0.64 0.05 [50] 1000 0.01 0.98 1 1
220 3 30 [50] 160.0 15.0 0.05 0.875 1.724 0.642 0.05 [50] 1000 0.01 0.98 1 1
221 3 30 [50] 160.0 15.0 0.2 0.812 1.671 0.637 0.05 [50] 1000 0.01 0.98 1 1
222 3 30 [50] 160.0 15.0 0.4 0.812 1.782 0.648 0.05 [50] 1000 0.01 0.98 1 1
223 3 30 [50] 160.0 20.0 0.05 0.881 1.78 0.618 0.05 [50] 1000 0.01 0.98 1 1
224 3 30 [50] 160.0 20.0 0.2 0.85 1.733 0.625 0.05 [50] 1000 0.01 0.98 1 1
225 3 30 [50] 160.0 20.0 0.4 0.825 1.791 0.624 0.05 [50] 1000 0.01 0.98 1 1
226 3 30 [75] 160.0 5.0 0.05 0.819 1.353 0.649 0.05 [75] 1000 0.01 0.98 1 1
227 3 30 [75] 160.0 5.0 0.2 0.806 1.331 0.63 0.05 [75] 1000 0.01 0.98 1 1
228 3 30 [75] 160.0 5.0 0.4 0.769 1.453 0.625 0.05 [75] 1000 0.01 0.98 1 1
229 3 30 [75] 160.0 15.0 0.05 0.856 1.617 0.636 0.05 [75] 1000 0.01 0.98 1 1
230 3 30 [75] 160.0 15.0 0.2 0.812 1.555 0.638 0.05 [75] 1000 0.01 0.98 1 1
231 3 30 [75] 160.0 15.0 0.4 0.819 1.634 0.631 0.05 [75] 1000 0.01 0.98 1 1
232 3 30 [75] 160.0 20.0 0.05 0.875 1.617 0.646 0.05 [75] 1000 0.01 0.98 1 1
233 3 30 [75] 160.0 20.0 0.2 0.844 1.636 0.623 0.05 [75] 1000 0.01 0.98 1 1
234 3 30 [75] 160.0 20.0 0.4 0.825 1.757 0.631 0.05 [75] 1000 0.01 0.98 1 1
235 3 30 [100] 160.0 5.0 0.05 0.781 1.308 0.64 0.05 [100] 1000 0.01 0.98 1 1
236 3 30 [100] 160.0 5.0 0.2 0.744 1.263 0.632 0.05 [100] 1000 0.01 0.98 1 1
237 3 30 [100] 160.0 5.0 0.4 0.719 1.238 0.621 0.05 [100] 1000 0.01 0.98 1 1
238 3 30 [100] 160.0 15.0 0.05 0.844 1.521 0.635 0.05 [100] 1000 0.01 0.98 1 1
239 3 30 [100] 160.0 15.0 0.2 0.838 1.478 0.633 0.05 [100] 1000 0.01 0.98 1 1
240 3 30 [100] 160.0 15.0 0.4 0.788 1.571 0.618 0.05 [100] 1000 0.01 0.98 1 1
