EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
189 3 10 [100] 160.0 20.0 0.4 0.959 0.6 0.002 0.05 [100] 1000 0.006 0.998 1 1
190 3 20 [50] 160.0 5.0 0.05 0.927 0.615 0.003 0.05 [50] 1000 0.006 0.998 1 1
191 3 20 [50] 160.0 5.0 0.2 0.914 0.573 0.003 0.05 [50] 1000 0.006 0.998 1 1
192 3 20 [50] 160.0 5.0 0.4 0.938 0.407 0.002 0.05 [50] 1000 0.006 0.998 1 1
193 3 20 [50] 160.0 15.0 0.05 0.946 0.894 0.004 0.05 [50] 1000 0.006 0.998 1 1
194 3 20 [50] 160.0 15.0 0.2 0.941 0.975 0.004 0.05 [50] 1000 0.006 0.998 1 1
195 3 20 [50] 160.0 15.0 0.4 0.95 0.701 0.003 0.05 [50] 1000 0.006 0.998 1 1
196 3 20 [50] 160.0 20.0 0.05 0.956 0.971 0.004 0.05 [50] 1000 0.006 0.998 1 1
197 3 20 [50] 160.0 20.0 0.2 0.948 0.812 0.003 0.05 [50] 1000 0.006 0.998 1 1
198 3 20 [50] 160.0 20.0 0.4 0.952 0.863 0.003 0.05 [50] 1000 0.006 0.998 1 1
199 3 20 [75] 160.0 5.0 0.05 0.93 0.69 0.004 0.05 [75] 1000 0.006 0.998 1 1
200 3 20 [75] 160.0 5.0 0.2 0.93 0.596 0.003 0.05 [75] 1000 0.006 0.998 1 1
201 3 20 [75] 160.0 5.0 0.4 0.954 0.384 0.002 0.05 [75] 1000 0.006 0.998 1 1
202 3 20 [75] 160.0 15.0 0.05 0.955 0.938 0.004 0.05 [75] 1000 0.006 0.998 1 1
203 3 20 [75] 160.0 15.0 0.2 0.936 0.835 0.003 0.05 [75] 1000 0.006 0.998 1 1
204 3 20 [75] 160.0 15.0 0.4 0.955 0.56 0.002 0.05 [75] 1000 0.006 0.998 1 1
205 3 20 [75] 160.0 20.0 0.05 0.956 1.057 0.004 0.05 [75] 1000 0.006 0.998 1 1
206 3 20 [75] 160.0 20.0 0.2 0.95 1.068 0.004 0.05 [75] 1000 0.006 0.998 1 1
207 3 20 [75] 160.0 20.0 0.4 0.942 0.742 0.003 0.05 [75] 1000 0.006 0.998 1 1
208 3 20 [100] 160.0 5.0 0.05 0.929 0.605 0.003 0.05 [100] 1000 0.006 0.998 1 1
209 3 20 [100] 160.0 5.0 0.2 0.929 0.653 0.003 0.05 [100] 1000 0.006 0.998 1 1
210 3 20 [100] 160.0 5.0 0.4 0.939 0.377 0.002 0.05 [100] 1000 0.006 0.998 1 1
211 3 20 [100] 160.0 15.0 0.05 0.95 0.932 0.004 0.05 [100] 1000 0.006 0.998 1 1
212 3 20 [100] 160.0 15.0 0.2 0.942 0.735 0.003 0.05 [100] 1000 0.006 0.998 1 1
213 3 20 [100] 160.0 15.0 0.4 0.955 0.558 0.002 0.05 [100] 1000 0.006 0.998 1 1
214 3 20 [100] 160.0 20.0 0.05 0.95 1.013 0.004 0.05 [100] 1000 0.006 0.998 1 1
215 3 20 [100] 160.0 20.0 0.2 0.956 0.955 0.004 0.05 [100] 1000 0.006 0.998 1 1
216 3 20 [100] 160.0 20.0 0.4 0.956 0.703 0.003 0.05 [100] 1000 0.006 0.998 1 1
217 3 30 [50] 160.0 5.0 0.05 0.921 0.581 0.003 0.05 [50] 1000 0.006 0.998 1 1
218 3 30 [50] 160.0 5.0 0.2 0.932 0.451 0.002 0.05 [50] 1000 0.006 0.998 1 1
219 3 30 [50] 160.0 5.0 0.4 0.956 0.382 0.002 0.05 [50] 1000 0.006 0.998 1 1
220 3 30 [50] 160.0 15.0 0.05 0.952 0.808 0.003 0.05 [50] 1000 0.006 0.998 1 1
221 3 30 [50] 160.0 15.0 0.2 0.953 0.761 0.003 0.05 [50] 1000 0.006 0.998 1 1
222 3 30 [50] 160.0 15.0 0.4 0.95 0.671 0.002 0.05 [50] 1000 0.006 0.998 1 1
223 3 30 [50] 160.0 20.0 0.05 0.948 0.913 0.004 0.05 [50] 1000 0.006 0.998 1 1
224 3 30 [50] 160.0 20.0 0.2 0.956 0.965 0.004 0.05 [50] 1000 0.006 0.998 1 1
225 3 30 [50] 160.0 20.0 0.4 0.951 0.803 0.003 0.05 [50] 1000 0.006 0.998 1 1
226 3 30 [75] 160.0 5.0 0.05 0.927 0.575 0.003 0.05 [75] 1000 0.006 0.998 1 1
227 3 30 [75] 160.0 5.0 0.2 0.926 0.446 0.002 0.05 [75] 1000 0.006 0.998 1 1
228 3 30 [75] 160.0 5.0 0.4 0.945 0.314 0.001 0.05 [75] 1000 0.006 0.998 1 1
229 3 30 [75] 160.0 15.0 0.05 0.94 0.876 0.004 0.05 [75] 1000 0.006 0.998 1 1
230 3 30 [75] 160.0 15.0 0.2 0.946 0.746 0.003 0.05 [75] 1000 0.006 0.998 1 1
231 3 30 [75] 160.0 15.0 0.4 0.942 0.669 0.003 0.05 [75] 1000 0.006 0.998 1 1
