EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
116 2 20 [50] 160.0 20.0 0.2 0.845 0.792 4.698 0.05 [50] 800 0.03 0.98 1 1
117 2 20 [50] 160.0 20.0 0.4 0.932 0.818 4.616 0.05 [50] 800 0.03 0.98 1 1
118 2 20 [75] 160.0 5.0 0.05 0.777 0.657 5.291 0.05 [75] 800 0.03 0.98 1 1
119 2 20 [75] 160.0 5.0 0.2 0.767 0.603 5.068 0.05 [75] 800 0.03 0.98 1 1
120 2 20 [75] 160.0 5.0 0.4 0.806 0.592 4.365 0.05 [75] 800 0.03 0.98 1 1
121 2 20 [75] 160.0 15.0 0.05 0.825 0.769 5.166 0.05 [75] 800 0.03 0.98 1 1
122 2 20 [75] 160.0 15.0 0.2 0.845 0.718 4.796 0.05 [75] 800 0.03 0.98 1 1
123 2 20 [75] 160.0 15.0 0.4 0.864 0.7 4.511 0.05 [75] 800 0.03 0.98 1 1
124 2 20 [75] 160.0 20.0 0.05 0.922 0.817 4.744 0.05 [75] 800 0.03 0.98 1 1
125 2 20 [75] 160.0 20.0 0.2 0.893 0.761 4.835 0.05 [75] 800 0.03 0.98 1 1
126 2 20 [75] 160.0 20.0 0.4 0.874 0.843 4.926 0.05 [75] 800 0.03 0.98 1 1
127 2 20 [100] 160.0 5.0 0.05 0.767 0.622 4.888 0.05 [100] 800 0.03 0.98 1 1
128 2 20 [100] 160.0 5.0 0.2 0.728 0.581 4.819 0.05 [100] 800 0.03 0.98 1 1
129 2 20 [100] 160.0 5.0 0.4 0.757 0.551 4.419 0.05 [100] 800 0.03 0.98 1 1
130 2 20 [100] 160.0 15.0 0.05 0.854 0.73 4.837 0.05 [100] 800 0.03 0.98 1 1
131 2 20 [100] 160.0 15.0 0.2 0.816 0.772 4.889 0.05 [100] 800 0.03 0.98 1 1
132 2 20 [100] 160.0 15.0 0.4 0.835 0.72 4.602 0.05 [100] 800 0.03 0.98 1 1
133 2 20 [100] 160.0 20.0 0.05 0.864 0.829 4.998 0.05 [100] 800 0.03 0.98 1 1
134 2 20 [100] 160.0 20.0 0.2 0.874 0.802 5.095 0.05 [100] 800 0.03 0.98 1 1
135 2 20 [100] 160.0 20.0 0.4 0.854 0.781 4.988 0.05 [100] 800 0.03 0.98 1 1
136 2 30 [50] 160.0 5.0 0.05 0.854 0.7 4.852 0.05 [50] 800 0.03 0.98 1 1
