EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
134 2 20 [100] 160.0 20.0 0.2 0.844 0.615 2.946 0.05 [100] 1200 0.016 0.97 1 1
135 2 20 [100] 160.0 20.0 0.4 0.792 0.574 2.542 0.05 [100] 1200 0.016 0.97 1 1
136 2 30 [50] 160.0 5.0 0.05 0.818 0.489 3.155 0.05 [50] 1200 0.016 0.97 1 1
137 2 30 [50] 160.0 5.0 0.2 0.792 0.533 3.059 0.05 [50] 1200 0.016 0.97 1 1
138 2 30 [50] 160.0 5.0 0.4 0.714 0.486 2.507 0.05 [50] 1200 0.016 0.97 1 1
139 2 30 [50] 160.0 15.0 0.05 0.87 0.63 2.875 0.05 [50] 1200 0.016 0.97 1 1
140 2 30 [50] 160.0 15.0 0.2 0.857 0.598 2.83 0.05 [50] 1200 0.016 0.97 1 1
141 2 30 [50] 160.0 15.0 0.4 0.844 0.594 2.771 0.05 [50] 1200 0.016 0.97 1 1
142 2 30 [50] 160.0 20.0 0.05 0.896 0.634 2.971 0.05 [50] 1200 0.016 0.97 1 1
143 2 30 [50] 160.0 20.0 0.2 0.896 0.629 2.987 0.05 [50] 1200 0.016 0.97 1 1
144 2 30 [50] 160.0 20.0 0.4 0.883 0.615 2.957 0.05 [50] 1200 0.016 0.97 1 1
145 2 30 [75] 160.0 5.0 0.05 0.831 0.53 2.652 0.05 [75] 1200 0.016 0.97 1 1
146 2 30 [75] 160.0 5.0 0.2 0.844 0.509 2.56 0.05 [75] 1200 0.016 0.97 1 1
147 2 30 [75] 160.0 5.0 0.4 0.714 0.463 2.513 0.05 [75] 1200 0.016 0.97 1 1
148 2 30 [75] 160.0 15.0 0.05 0.831 0.578 2.685 0.05 [75] 1200 0.016 0.97 1 1
149 2 30 [75] 160.0 15.0 0.2 0.857 0.587 2.821 0.05 [75] 1200 0.016 0.97 1 1
150 2 30 [75] 160.0 15.0 0.4 0.792 0.577 2.945 0.05 [75] 1200 0.016 0.97 1 1
151 2 30 [75] 160.0 20.0 0.05 0.857 0.603 2.763 0.05 [75] 1200 0.016 0.97 1 1
152 2 30 [75] 160.0 20.0 0.2 0.857 0.583 2.787 0.05 [75] 1200 0.016 0.97 1 1
153 2 30 [75] 160.0 20.0 0.4 0.779 0.637 3.065 0.05 [75] 1200 0.016 0.97 1 1
154 2 30 [100] 160.0 5.0 0.05 0.779 0.442 2.526 0.05 [100] 1200 0.016 0.97 1 1
155 2 30 [100] 160.0 5.0 0.2 0.779 0.471 2.569 0.05 [100] 1200 0.016 0.97 1 1
156 2 30 [100] 160.0 5.0 0.4 0.766 0.455 2.392 0.05 [100] 1200 0.016 0.97 1 1
157 2 30 [100] 160.0 15.0 0.05 0.844 0.588 2.976 0.05 [100] 1200 0.016 0.97 1 1
158 2 30 [100] 160.0 15.0 0.2 0.857 0.563 2.789 0.05 [100] 1200 0.016 0.97 1 1
