EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
176 3 10 [75] 160.0 15.0 0.2 0.917 2.031 4.786 0.05 [75] 600 0.002 0.999 1 1
177 3 10 [75] 160.0 15.0 0.4 0.922 2.059 4.812 0.05 [75] 600 0.002 0.999 1 1
178 3 10 [75] 160.0 20.0 0.05 0.925 2.085 4.852 0.05 [75] 600 0.002 0.999 1 1
179 3 10 [75] 160.0 20.0 0.2 0.922 2.077 4.826 0.05 [75] 600 0.002 0.999 1 1
180 3 10 [75] 160.0 20.0 0.4 0.924 2.104 4.832 0.05 [75] 600 0.002 0.999 1 1
181 3 10 [100] 160.0 5.0 0.05 0.891 1.832 4.71 0.05 [100] 600 0.002 0.999 1 1
182 3 10 [100] 160.0 5.0 0.2 0.885 1.801 4.645 0.05 [100] 600 0.002 0.999 1 1
183 3 10 [100] 160.0 5.0 0.4 0.883 1.828 4.683 0.05 [100] 600 0.002 0.999 1 1
184 3 10 [100] 160.0 15.0 0.05 0.919 2.022 4.806 0.05 [100] 600 0.002 0.999 1 1
185 3 10 [100] 160.0 15.0 0.2 0.914 2.013 4.748 0.05 [100] 600 0.002 0.999 1 1
186 3 10 [100] 160.0 15.0 0.4 0.916 2.023 4.735 0.05 [100] 600 0.002 0.999 1 1
187 3 10 [100] 160.0 20.0 0.05 0.921 2.055 4.81 0.05 [100] 600 0.002 0.999 1 1
188 3 10 [100] 160.0 20.0 0.2 0.925 2.054 4.809 0.05 [100] 600 0.002 0.999 1 1
189 3 10 [100] 160.0 20.0 0.4 0.922 2.067 4.786 0.05 [100] 600 0.002 0.999 1 1
190 3 20 [50] 160.0 5.0 0.05 0.892 1.915 4.819 0.05 [50] 600 0.002 0.999 1 1
191 3 20 [50] 160.0 5.0 0.2 0.892 1.886 4.762 0.05 [50] 600 0.002 0.999 1 1
192 3 20 [50] 160.0 5.0 0.4 0.89 1.889 4.776 0.05 [50] 600 0.002 0.999 1 1
193 3 20 [50] 160.0 15.0 0.05 0.923 2.098 4.878 0.05 [50] 600 0.002 0.999 1 1
194 3 20 [50] 160.0 15.0 0.2 0.923 2.078 4.864 0.05 [50] 600 0.002 0.999 1 1
195 3 20 [50] 160.0 15.0 0.4 0.915 2.078 4.866 0.05 [50] 600 0.002 0.999 1 1
196 3 20 [50] 160.0 20.0 0.05 0.928 2.145 4.96 0.05 [50] 600 0.002 0.999 1 1
197 3 20 [50] 160.0 20.0 0.2 0.925 2.118 4.901 0.05 [50] 600 0.002 0.999 1 1
198 3 20 [50] 160.0 20.0 0.4 0.924 2.111 4.871 0.05 [50] 600 0.002 0.999 1 1
199 3 20 [75] 160.0 5.0 0.05 0.891 1.866 4.729 0.05 [75] 600 0.002 0.999 1 1
200 3 20 [75] 160.0 5.0 0.2 0.889 1.843 4.701 0.05 [75] 600 0.002 0.999 1 1
201 3 20 [75] 160.0 5.0 0.4 0.886 1.855 4.691 0.05 [75] 600 0.002 0.999 1 1
202 3 20 [75] 160.0 15.0 0.05 0.923 2.063 4.85 0.05 [75] 600 0.002 0.999 1 1
203 3 20 [75] 160.0 15.0 0.2 0.921 2.046 4.809 0.05 [75] 600 0.002 0.999 1 1
