EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
173 3 10 [75] 160.0 5.0 0.2 0.806 0.091 0.953 0.05 [75] 2000 0.005 0.98 1 1
174 3 10 [75] 160.0 5.0 0.4 0.903 0.272 2.445 0.05 [75] 2000 0.005 0.98 1 1
175 3 10 [75] 160.0 15.0 0.05 0.774 0.167 1.243 0.05 [75] 2000 0.005 0.98 1 1
176 3 10 [75] 160.0 15.0 0.2 0.871 0.167 1.135 0.05 [75] 2000 0.005 0.98 1 1
177 3 10 [75] 160.0 15.0 0.4 0.839 0.355 3.078 0.05 [75] 2000 0.005 0.98 1 1
178 3 10 [75] 160.0 20.0 0.05 0.871 0.179 1.249 0.05 [75] 2000 0.005 0.98 1 1
179 3 10 [75] 160.0 20.0 0.2 0.774 0.202 1.653 0.05 [75] 2000 0.005 0.98 1 1
180 3 10 [75] 160.0 20.0 0.4 0.871 0.492 3.702 0.05 [75] 2000 0.005 0.98 1 1
181 3 10 [100] 160.0 5.0 0.05 0.839 0.088 0.81 0.05 [100] 2000 0.005 0.98 1 1
182 3 10 [100] 160.0 5.0 0.2 0.871 0.073 0.603 0.05 [100] 2000 0.005 0.98 1 1
183 3 10 [100] 160.0 5.0 0.4 0.903 0.338 1.748 0.05 [100] 2000 0.005 0.98 1 1
184 3 10 [100] 160.0 15.0 0.05 0.935 0.201 1.224 0.05 [100] 2000 0.005 0.98 1 1
185 3 10 [100] 160.0 15.0 0.2 0.871 0.182 1.133 0.05 [100] 2000 0.005 0.98 1 1
186 3 10 [100] 160.0 15.0 0.4 0.839 0.59 3.604 0.05 [100] 2000 0.005 0.98 1 1
187 3 10 [100] 160.0 20.0 0.05 0.935 0.229 1.306 0.05 [100] 2000 0.005 0.98 1 1
188 3 10 [100] 160.0 20.0 0.2 0.935 0.257 1.196 0.05 [100] 2000 0.005 0.98 1 1
189 3 10 [100] 160.0 20.0 0.4 0.839 0.619 4.152 0.05 [100] 2000 0.005 0.98 1 1
190 3 20 [50] 160.0 5.0 0.05 0.871 0.118 1.251 0.05 [50] 2000 0.005 0.98 1 1
191 3 20 [50] 160.0 5.0 0.2 0.71 0.113 1.269 0.05 [50] 2000 0.005 0.98 1 1
192 3 20 [50] 160.0 5.0 0.4 0.742 0.145 1.507 0.05 [50] 2000 0.005 0.98 1 1
193 3 20 [50] 160.0 15.0 0.05 0.806 0.128 1.385 0.05 [50] 2000 0.005 0.98 1 1
194 3 20 [50] 160.0 15.0 0.2 0.806 0.125 1.187 0.05 [50] 2000 0.005 0.98 1 1
195 3 20 [50] 160.0 15.0 0.4 0.774 0.248 2.371 0.05 [50] 2000 0.005 0.98 1 1
196 3 20 [50] 160.0 20.0 0.05 0.839 0.135 1.14 0.05 [50] 2000 0.005 0.98 1 1
197 3 20 [50] 160.0 20.0 0.2 0.806 0.186 1.224 0.05 [50] 2000 0.005 0.98 1 1
198 3 20 [50] 160.0 20.0 0.4 0.871 0.349 2.568 0.05 [50] 2000 0.005 0.98 1 1
199 3 20 [75] 160.0 5.0 0.05 0.839 0.094 0.954 0.05 [75] 2000 0.005 0.98 1 1
200 3 20 [75] 160.0 5.0 0.2 0.806 0.093 1.085 0.05 [75] 2000 0.005 0.98 1 1
201 3 20 [75] 160.0 5.0 0.4 0.677 0.151 1.676 0.05 [75] 2000 0.005 0.98 1 1
202 3 20 [75] 160.0 15.0 0.05 0.871 0.174 1.221 0.05 [75] 2000 0.005 0.98 1 1
203 3 20 [75] 160.0 15.0 0.2 0.871 0.178 1.328 0.05 [75] 2000 0.005 0.98 1 1
204 3 20 [75] 160.0 15.0 0.4 0.903 0.422 2.541 0.05 [75] 2000 0.005 0.98 1 1
205 3 20 [75] 160.0 20.0 0.05 0.903 0.134 1.209 0.05 [75] 2000 0.005 0.98 1 1
206 3 20 [75] 160.0 20.0 0.2 0.903 0.25 1.44 0.05 [75] 2000 0.005 0.98 1 1
207 3 20 [75] 160.0 20.0 0.4 0.806 0.26 2.115 0.05 [75] 2000 0.005 0.98 1 1
208 3 20 [100] 160.0 5.0 0.05 0.806 0.097 0.936 0.05 [100] 2000 0.005 0.98 1 1
209 3 20 [100] 160.0 5.0 0.2 0.806 0.083 0.908 0.05 [100] 2000 0.005 0.98 1 1
210 3 20 [100] 160.0 5.0 0.4 0.742 0.164 2.041 0.05 [100] 2000 0.005 0.98 1 1
211 3 20 [100] 160.0 15.0 0.05 0.935 0.206 1.217 0.05 [100] 2000 0.005 0.98 1 1
212 3 20 [100] 160.0 15.0 0.2 0.806 0.109 1.213 0.05 [100] 2000 0.005 0.98 1 1
213 3 20 [100] 160.0 15.0 0.4 0.839 0.387 2.928 0.05 [100] 2000 0.005 0.98 1 1
214 3 20 [100] 160.0 20.0 0.05 0.839 0.125 1.118 0.05 [100] 2000 0.005 0.98 1 1
215 3 20 [100] 160.0 20.0 0.2 0.968 0.251 1.244 0.05 [100] 2000 0.005 0.98 1 1
216 3 20 [100] 160.0 20.0 0.4 0.839 0.436 3.107 0.05 [100] 2000 0.005 0.98 1 1
217 3 30 [50] 160.0 5.0 0.05 0.839 0.112 0.839 0.05 [50] 2000 0.005 0.98 1 1
218 3 30 [50] 160.0 5.0 0.2 0.774 0.099 1.017 0.05 [50] 2000 0.005 0.98 1 1
219 3 30 [50] 160.0 5.0 0.4 0.742 0.172 2.727 0.05 [50] 2000 0.005 0.98 1 1
220 3 30 [50] 160.0 15.0 0.05 0.935 0.136 1.221 0.05 [50] 2000 0.005 0.98 1 1
221 3 30 [50] 160.0 15.0 0.2 0.839 0.139 1.145 0.05 [50] 2000 0.005 0.98 1 1
222 3 30 [50] 160.0 15.0 0.4 0.774 0.28 3.638 0.05 [50] 2000 0.005 0.98 1 1
223 3 30 [50] 160.0 20.0 0.05 0.839 0.157 1.472 0.05 [50] 2000 0.005 0.98 1 1
224 3 30 [50] 160.0 20.0 0.2 0.903 0.145 1.066 0.05 [50] 2000 0.005 0.98 1 1
225 3 30 [50] 160.0 20.0 0.4 0.774 0.313 4.012 0.05 [50] 2000 0.005 0.98 1 1
226 3 30 [75] 160.0 5.0 0.05 0.871 0.127 0.904 0.05 [75] 2000 0.005 0.98 1 1
227 3 30 [75] 160.0 5.0 0.2 0.839 0.102 0.8 0.05 [75] 2000 0.005 0.98 1 1
228 3 30 [75] 160.0 5.0 0.4 0.806 0.265 2.596 0.05 [75] 2000 0.005 0.98 1 1
229 3 30 [75] 160.0 15.0 0.05 0.774 0.116 1.133 0.05 [75] 2000 0.005 0.98 1 1
230 3 30 [75] 160.0 15.0 0.2 0.839 0.102 0.99 0.05 [75] 2000 0.005 0.98 1 1
231 3 30 [75] 160.0 15.0 0.4 0.742 0.187 1.741 0.05 [75] 2000 0.005 0.98 1 1
232 3 30 [75] 160.0 20.0 0.05 0.935 0.15 1.081 0.05 [75] 2000 0.005 0.98 1 1
233 3 30 [75] 160.0 20.0 0.2 0.839 0.149 1.156 0.05 [75] 2000 0.005 0.98 1 1
234 3 30 [75] 160.0 20.0 0.4 0.806 0.346 2.832 0.05 [75] 2000 0.005 0.98 1 1
235 3 30 [100] 160.0 5.0 0.05 0.839 0.084 0.803 0.05 [100] 2000 0.005 0.98 1 1
236 3 30 [100] 160.0 5.0 0.2 0.871 0.118 1.016 0.05 [100] 2000 0.005 0.98 1 1
237 3 30 [100] 160.0 5.0 0.4 0.806 0.363 4.419 0.05 [100] 2000 0.005 0.98 1 1
238 3 30 [100] 160.0 15.0 0.05 0.774 0.108 1.175 0.05 [100] 2000 0.005 0.98 1 1
239 3 30 [100] 160.0 15.0 0.2 0.806 0.114 1.261 0.05 [100] 2000 0.005 0.98 1 1
240 3 30 [100] 160.0 15.0 0.4 0.839 0.461 4.878 0.05 [100] 2000 0.005 0.98 1 1
