EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
102 2 10 [100] 160.0 5.0 0.4 0.765 0.79 3.398 0.05 [100] 300 0.02 0.9 1 1
103 2 10 [100] 160.0 15.0 0.05 0.863 0.882 2.721 0.05 [100] 300 0.02 0.9 1 1
104 2 10 [100] 160.0 15.0 0.2 0.843 0.899 2.941 0.05 [100] 300 0.02 0.9 1 1
105 2 10 [100] 160.0 15.0 0.4 0.843 1.372 3.993 0.05 [100] 300 0.02 0.9 1 1
106 2 10 [100] 160.0 20.0 0.05 0.863 0.87 2.983 0.05 [100] 300 0.02 0.9 1 1
107 2 10 [100] 160.0 20.0 0.2 0.882 0.935 2.784 0.05 [100] 300 0.02 0.9 1 1
108 2 10 [100] 160.0 20.0 0.4 0.824 1.293 3.679 0.05 [100] 300 0.02 0.9 1 1
109 2 20 [50] 160.0 5.0 0.05 0.843 0.78 3.123 0.05 [50] 300 0.02 0.9 1 1
110 2 20 [50] 160.0 5.0 0.2 0.784 0.698 2.934 0.05 [50] 300 0.02 0.9 1 1
111 2 20 [50] 160.0 5.0 0.4 0.725 0.865 3.624 0.05 [50] 300 0.02 0.9 1 1
112 2 20 [50] 160.0 15.0 0.05 0.843 0.806 2.847 0.05 [50] 300 0.02 0.9 1 1
113 2 20 [50] 160.0 15.0 0.2 0.863 0.989 2.97 0.05 [50] 300 0.02 0.9 1 1
114 2 20 [50] 160.0 15.0 0.4 0.843 1.278 3.789 0.05 [50] 300 0.02 0.9 1 1
115 2 20 [50] 160.0 20.0 0.05 0.843 0.934 3.126 0.05 [50] 300 0.02 0.9 1 1
116 2 20 [50] 160.0 20.0 0.2 0.882 1.009 3.074 0.05 [50] 300 0.02 0.9 1 1
117 2 20 [50] 160.0 20.0 0.4 0.804 1.324 4.172 0.05 [50] 300 0.02 0.9 1 1
118 2 20 [75] 160.0 5.0 0.05 0.765 0.676 2.711 0.05 [75] 300 0.02 0.9 1 1
119 2 20 [75] 160.0 5.0 0.2 0.745 0.734 3.019 0.05 [75] 300 0.02 0.9 1 1
120 2 20 [75] 160.0 5.0 0.4 0.745 0.75 2.62 0.05 [75] 300 0.02 0.9 1 1
121 2 20 [75] 160.0 15.0 0.05 0.941 1.004 2.693 0.05 [75] 300 0.02 0.9 1 1
122 2 20 [75] 160.0 15.0 0.2 0.804 0.883 3.237 0.05 [75] 300 0.02 0.9 1 1
123 2 20 [75] 160.0 15.0 0.4 0.902 1.134 3.52 0.05 [75] 300 0.02 0.9 1 1
124 2 20 [75] 160.0 20.0 0.05 0.882 0.998 3.38 0.05 [75] 300 0.02 0.9 1 1
125 2 20 [75] 160.0 20.0 0.2 0.824 0.941 3.031 0.05 [75] 300 0.02 0.9 1 1
126 2 20 [75] 160.0 20.0 0.4 0.863 1.174 3.596 0.05 [75] 300 0.02 0.9 1 1
127 2 20 [100] 160.0 5.0 0.05 0.804 0.719 2.518 0.05 [100] 300 0.02 0.9 1 1
128 2 20 [100] 160.0 5.0 0.2 0.863 0.706 2.671 0.05 [100] 300 0.02 0.9 1 1
129 2 20 [100] 160.0 5.0 0.4 0.745 0.892 3.219 0.05 [100] 300 0.02 0.9 1 1
130 2 20 [100] 160.0 15.0 0.05 0.863 0.853 2.717 0.05 [100] 300 0.02 0.9 1 1
131 2 20 [100] 160.0 15.0 0.2 0.843 0.92 2.941 0.05 [100] 300 0.02 0.9 1 1
132 2 20 [100] 160.0 15.0 0.4 0.745 1.219 3.721 0.05 [100] 300 0.02 0.9 1 1
133 2 20 [100] 160.0 20.0 0.05 0.922 0.989 2.567 0.05 [100] 300 0.02 0.9 1 1
134 2 20 [100] 160.0 20.0 0.2 0.882 0.984 2.913 0.05 [100] 300 0.02 0.9 1 1
135 2 20 [100] 160.0 20.0 0.4 0.863 1.512 4.885 0.05 [100] 300 0.02 0.9 1 1
136 2 30 [50] 160.0 5.0 0.05 0.765 0.731 2.947 0.05 [50] 300 0.02 0.9 1 1
137 2 30 [50] 160.0 5.0 0.2 0.765 0.758 3.008 0.05 [50] 300 0.02 0.9 1 1
138 2 30 [50] 160.0 5.0 0.4 0.686 0.779 3.455 0.05 [50] 300 0.02 0.9 1 1
139 2 30 [50] 160.0 15.0 0.05 0.843 1.035 3.075 0.05 [50] 300 0.02 0.9 1 1
140 2 30 [50] 160.0 15.0 0.2 0.843 0.862 2.811 0.05 [50] 300 0.02 0.9 1 1
141 2 30 [50] 160.0 15.0 0.4 0.824 1.045 3.278 0.05 [50] 300 0.02 0.9 1 1
142 2 30 [50] 160.0 20.0 0.05 0.922 0.966 2.688 0.05 [50] 300 0.02 0.9 1 1
143 2 30 [50] 160.0 20.0 0.2 0.902 1.025 3.271 0.05 [50] 300 0.02 0.9 1 1
144 2 30 [50] 160.0 20.0 0.4 0.824 1.146 3.717 0.05 [50] 300 0.02 0.9 1 1
145 2 30 [75] 160.0 5.0 0.05 0.804 0.743 2.801 0.05 [75] 300 0.02 0.9 1 1
146 2 30 [75] 160.0 5.0 0.2 0.745 0.649 2.8 0.05 [75] 300 0.02 0.9 1 1
147 2 30 [75] 160.0 5.0 0.4 0.706 0.801 3.311 0.05 [75] 300 0.02 0.9 1 1
148 2 30 [75] 160.0 15.0 0.05 0.902 0.971 2.926 0.05 [75] 300 0.02 0.9 1 1
149 2 30 [75] 160.0 15.0 0.2 0.725 0.911 3.254 0.05 [75] 300 0.02 0.9 1 1
150 2 30 [75] 160.0 15.0 0.4 0.745 1.011 3.102 0.05 [75] 300 0.02 0.9 1 1
151 2 30 [75] 160.0 20.0 0.05 0.882 1.092 3.138 0.05 [75] 300 0.02 0.9 1 1
152 2 30 [75] 160.0 20.0 0.2 0.902 1.078 3.619 0.05 [75] 300 0.02 0.9 1 1
153 2 30 [75] 160.0 20.0 0.4 0.843 1.219 3.382 0.05 [75] 300 0.02 0.9 1 1
154 2 30 [100] 160.0 5.0 0.05 0.765 0.708 2.79 0.05 [100] 300 0.02 0.9 1 1
155 2 30 [100] 160.0 5.0 0.2 0.725 0.621 2.749 0.05 [100] 300 0.02 0.9 1 1
156 2 30 [100] 160.0 5.0 0.4 0.725 0.909 3.104 0.05 [100] 300 0.02 0.9 1 1
157 2 30 [100] 160.0 15.0 0.05 0.922 0.868 2.686 0.05 [100] 300 0.02 0.9 1 1
158 2 30 [100] 160.0 15.0 0.2 0.804 0.851 3.058 0.05 [100] 300 0.02 0.9 1 1
159 2 30 [100] 160.0 15.0 0.4 0.882 1.228 3.435 0.05 [100] 300 0.02 0.9 1 1
160 2 30 [100] 160.0 20.0 0.05 0.843 0.798 2.584 0.05 [100] 300 0.02 0.9 1 1
161 2 30 [100] 160.0 20.0 0.2 0.824 0.893 2.97 0.05 [100] 300 0.02 0.9 1 1
162 2 30 [100] 160.0 20.0 0.4 0.784 1.319 4.05 0.05 [100] 300 0.02 0.9 1 1
163 3 10 [50] 160.0 5.0 0.05 0.765 0.729 2.444 0.05 [50] 300 0.02 0.9 1 1
164 3 10 [50] 160.0 5.0 0.2 0.765 0.722 2.403 0.05 [50] 300 0.02 0.9 1 1
165 3 10 [50] 160.0 5.0 0.4 0.863 1.17 4.7 0.05 [50] 300 0.02 0.9 1 1
166 3 10 [50] 160.0 15.0 0.05 0.843 0.844 2.516 0.05 [50] 300 0.02 0.9 1 1
167 3 10 [50] 160.0 15.0 0.2 0.843 0.917 2.918 0.05 [50] 300 0.02 0.9 1 1
168 3 10 [50] 160.0 15.0 0.4 0.922 1.231 3.295 0.05 [50] 300 0.02 0.9 1 1
169 3 10 [50] 160.0 20.0 0.05 0.902 1.027 2.342 0.05 [50] 300 0.02 0.9 1 1
170 3 10 [50] 160.0 20.0 0.2 0.902 1.037 2.689 0.05 [50] 300 0.02 0.9 1 1
171 3 10 [50] 160.0 20.0 0.4 0.843 1.143 3.46 0.05 [50] 300 0.02 0.9 1 1
172 3 10 [75] 160.0 5.0 0.05 0.745 0.687 2.529 0.05 [75] 300 0.02 0.9 1 1
173 3 10 [75] 160.0 5.0 0.2 0.804 0.759 2.318 0.05 [75] 300 0.02 0.9 1 1
174 3 10 [75] 160.0 5.0 0.4 0.745 0.791 4.098 0.05 [75] 300 0.02 0.9 1 1
175 3 10 [75] 160.0 15.0 0.05 0.902 0.928 2.624 0.05 [75] 300 0.02 0.9 1 1
176 3 10 [75] 160.0 15.0 0.2 0.824 0.732 2.795 0.05 [75] 300 0.02 0.9 1 1
177 3 10 [75] 160.0 15.0 0.4 0.804 1.359 4.224 0.05 [75] 300 0.02 0.9 1 1
178 3 10 [75] 160.0 20.0 0.05 0.863 0.917 2.704 0.05 [75] 300 0.02 0.9 1 1
179 3 10 [75] 160.0 20.0 0.2 0.863 0.964 2.613 0.05 [75] 300 0.02 0.9 1 1
180 3 10 [75] 160.0 20.0 0.4 0.824 1.219 3.192 0.05 [75] 300 0.02 0.9 1 1
181 3 10 [100] 160.0 5.0 0.05 0.824 0.675 2.223 0.05 [100] 300 0.02 0.9 1 1
182 3 10 [100] 160.0 5.0 0.2 0.765 0.641 2.654 0.05 [100] 300 0.02 0.9 1 1
183 3 10 [100] 160.0 5.0 0.4 0.667 0.799 3.089 0.05 [100] 300 0.02 0.9 1 1
184 3 10 [100] 160.0 15.0 0.05 0.902 0.887 3.011 0.05 [100] 300 0.02 0.9 1 1
185 3 10 [100] 160.0 15.0 0.2 0.745 0.775 3.014 0.05 [100] 300 0.02 0.9 1 1
186 3 10 [100] 160.0 15.0 0.4 0.784 1.172 3.819 0.05 [100] 300 0.02 0.9 1 1
187 3 10 [100] 160.0 20.0 0.05 0.902 0.979 2.673 0.05 [100] 300 0.02 0.9 1 1
188 3 10 [100] 160.0 20.0 0.2 0.824 0.887 2.541 0.05 [100] 300 0.02 0.9 1 1
189 3 10 [100] 160.0 20.0 0.4 0.882 1.545 3.641 0.05 [100] 300 0.02 0.9 1 1
190 3 20 [50] 160.0 5.0 0.05 0.784 0.749 2.661 0.05 [50] 300 0.02 0.9 1 1
191 3 20 [50] 160.0 5.0 0.2 0.745 0.679 2.764 0.05 [50] 300 0.02 0.9 1 1
192 3 20 [50] 160.0 5.0 0.4 0.784 0.868 3.467 0.05 [50] 300 0.02 0.9 1 1
193 3 20 [50] 160.0 15.0 0.05 0.882 0.932 2.901 0.05 [50] 300 0.02 0.9 1 1
194 3 20 [50] 160.0 15.0 0.2 0.863 0.88 3.273 0.05 [50] 300 0.02 0.9 1 1
195 3 20 [50] 160.0 15.0 0.4 0.902 1.32 3.472 0.05 [50] 300 0.02 0.9 1 1
196 3 20 [50] 160.0 20.0 0.05 0.882 0.944 2.703 0.05 [50] 300 0.02 0.9 1 1
197 3 20 [50] 160.0 20.0 0.2 0.784 1.076 3.252 0.05 [50] 300 0.02 0.9 1 1
198 3 20 [50] 160.0 20.0 0.4 0.882 1.183 3.54 0.05 [50] 300 0.02 0.9 1 1
199 3 20 [75] 160.0 5.0 0.05 0.824 0.728 2.71 0.05 [75] 300 0.02 0.9 1 1
200 3 20 [75] 160.0 5.0 0.2 0.824 0.686 2.438 0.05 [75] 300 0.02 0.9 1 1
201 3 20 [75] 160.0 5.0 0.4 0.804 0.85 2.523 0.05 [75] 300 0.02 0.9 1 1
202 3 20 [75] 160.0 15.0 0.05 0.902 0.854 2.483 0.05 [75] 300 0.02 0.9 1 1
203 3 20 [75] 160.0 15.0 0.2 0.882 1.005 2.908 0.05 [75] 300 0.02 0.9 1 1
204 3 20 [75] 160.0 15.0 0.4 0.882 1.131 2.944 0.05 [75] 300 0.02 0.9 1 1
205 3 20 [75] 160.0 20.0 0.05 0.824 0.908 2.55 0.05 [75] 300 0.02 0.9 1 1
206 3 20 [75] 160.0 20.0 0.2 0.882 1.036 2.769 0.05 [75] 300 0.02 0.9 1 1
207 3 20 [75] 160.0 20.0 0.4 0.863 1.259 3.205 0.05 [75] 300 0.02 0.9 1 1
208 3 20 [100] 160.0 5.0 0.05 0.706 0.668 2.395 0.05 [100] 300 0.02 0.9 1 1
209 3 20 [100] 160.0 5.0 0.2 0.882 0.741 2.744 0.05 [100] 300 0.02 0.9 1 1
210 3 20 [100] 160.0 5.0 0.4 0.882 1.07 3.035 0.05 [100] 300 0.02 0.9 1 1
211 3 20 [100] 160.0 15.0 0.05 0.902 0.911 2.918 0.05 [100] 300 0.02 0.9 1 1
212 3 20 [100] 160.0 15.0 0.2 0.824 0.883 2.502 0.05 [100] 300 0.02 0.9 1 1
213 3 20 [100] 160.0 15.0 0.4 0.824 1.081 4.089 0.05 [100] 300 0.02 0.9 1 1
214 3 20 [100] 160.0 20.0 0.05 0.843 1.063 2.812 0.05 [100] 300 0.02 0.9 1 1
215 3 20 [100] 160.0 20.0 0.2 0.863 1.064 3.023 0.05 [100] 300 0.02 0.9 1 1
216 3 20 [100] 160.0 20.0 0.4 0.784 1.362 5.529 0.05 [100] 300 0.02 0.9 1 1
217 3 30 [50] 160.0 5.0 0.05 0.843 0.751 2.621 0.05 [50] 300 0.02 0.9 1 1
218 3 30 [50] 160.0 5.0 0.2 0.784 0.777 2.564 0.05 [50] 300 0.02 0.9 1 1
219 3 30 [50] 160.0 5.0 0.4 0.804 0.844 3.341 0.05 [50] 300 0.02 0.9 1 1
220 3 30 [50] 160.0 15.0 0.05 0.902 0.959 2.921 0.05 [50] 300 0.02 0.9 1 1
221 3 30 [50] 160.0 15.0 0.2 0.804 0.955 2.813 0.05 [50] 300 0.02 0.9 1 1
222 3 30 [50] 160.0 15.0 0.4 0.824 1.41 4.115 0.05 [50] 300 0.02 0.9 1 1
223 3 30 [50] 160.0 20.0 0.05 0.902 1.08 3.125 0.05 [50] 300 0.02 0.9 1 1
224 3 30 [50] 160.0 20.0 0.2 0.843 0.911 3.004 0.05 [50] 300 0.02 0.9 1 1
225 3 30 [50] 160.0 20.0 0.4 0.824 1.171 3.367 0.05 [50] 300 0.02 0.9 1 1
226 3 30 [75] 160.0 5.0 0.05 0.784 0.693 2.568 0.05 [75] 300 0.02 0.9 1 1
227 3 30 [75] 160.0 5.0 0.2 0.784 0.715 2.469 0.05 [75] 300 0.02 0.9 1 1
228 3 30 [75] 160.0 5.0 0.4 0.765 0.851 3.428 0.05 [75] 300 0.02 0.9 1 1
229 3 30 [75] 160.0 15.0 0.05 0.804 0.931 2.75 0.05 [75] 300 0.02 0.9 1 1
230 3 30 [75] 160.0 15.0 0.2 0.902 0.962 2.55 0.05 [75] 300 0.02 0.9 1 1
231 3 30 [75] 160.0 15.0 0.4 0.863 1.215 4.088 0.05 [75] 300 0.02 0.9 1 1
232 3 30 [75] 160.0 20.0 0.05 0.902 0.966 2.554 0.05 [75] 300 0.02 0.9 1 1
233 3 30 [75] 160.0 20.0 0.2 0.922 0.983 2.627 0.05 [75] 300 0.02 0.9 1 1
234 3 30 [75] 160.0 20.0 0.4 0.922 1.348 3.799 0.05 [75] 300 0.02 0.9 1 1
235 3 30 [100] 160.0 5.0 0.05 0.882 0.766 2.38 0.05 [100] 300 0.02 0.9 1 1
236 3 30 [100] 160.0 5.0 0.2 0.843 0.73 2.413 0.05 [100] 300 0.02 0.9 1 1
237 3 30 [100] 160.0 5.0 0.4 0.843 0.928 3.092 0.05 [100] 300 0.02 0.9 1 1
238 3 30 [100] 160.0 15.0 0.05 0.863 0.869 2.603 0.05 [100] 300 0.02 0.9 1 1
239 3 30 [100] 160.0 15.0 0.2 0.843 0.926 2.803 0.05 [100] 300 0.02 0.9 1 1
240 3 30 [100] 160.0 15.0 0.4 0.902 1.269 3.669 0.05 [100] 300 0.02 0.9 1 1
241 3 30 [100] 160.0 20.0 0.05 0.843 1.006 3.057 0.05 [100] 300 0.02 0.9 1 1
242 3 30 [100] 160.0 20.0 0.2 0.863 0.841 3.015 0.05 [100] 300 0.02 0.9 1 1
243 3 30 [100] 160.0 20.0 0.4 0.843 1.274 3.209 0.05 [100] 300 0.02 0.9 1 1
